stake,yr,d1,d2,d3,lat,lon,elevation,dw,rhow,ice_melt_spring,ds,rhos,ice_melt_fall,nswe_fall,bw_stratigraphic,bs_stratigraphic,ba_stratigraphic,bw_floating_date,bs_floating_date,ba_floating_date,swew,swes,snow_melt_fall,fall_elevation
L01,1997,,1997-04-28,1997-10-12,64.4950991666667,-20.431969833333,538.154990237845,0.85,494.0,,,,5.75,,0.42,-6.17,-5.75,0.42,-6.17,-5.75,0.4199,,,535.154990237845
L01,1998,1997-10-12,1998-04-17,1998-09-16,64.4927799999997,-20.43633,490.0,0.6,490.0,,,,7.03,0.0,0.29,-7.32,-7.03,0.29,-7.32,-7.03,0.294,,,487.0
L01,1999,1998-09-16,1999-04-22,1999-09-28,64.4938199999996,-20.43648,505.0,3.05,547.0,,,,4.95,0.0,1.669,-6.619,-4.95,1.669,-6.619,-4.95,1.66835,,,502.0
L01,2000,1999-09-28,2000-04-27,2000-10-04,64.4934299999996,-20.4362199999999,490.0,2.6,508.0,,,,5.535,0.0525,1.32,-6.855,-5.535,1.32,-6.8025,-5.4825,1.3208,,,487.0
L01,2001,2000-10-04,2001-04-19,2001-10-05,64.4938199999996,-20.4364699999999,485.0,1.59,591.194968553459,,,,6.309,0.0,0.937,-7.246,-6.309,0.8845,-7.246,-6.3615,0.94,,,482.0
L01,2002,2001-10-05,2002-04-26,2002-10-31,64.4943599999997,-20.43561,486.0,1.69,604.891656804734,,,,7.371,0.0,1.022,-8.393,-7.371,1.022,-8.393,-7.371,1.0222669,,,483.0
L01,2003,2002-10-31,2003-04-24,2003-10-23,64.5032099999997,-20.46519,500.0,0.2,500.0,,,,7.992,0.0,0.1,-8.092,-7.992,0.1,-8.092,-7.992,0.1,,,497.0
L01,2004,2003-10-23,2004-05-09,2004-10-22,64.5040699999996,-20.4632000000001,514.0,0.1,600.0,,,,8.469,0.0,0.06,-8.529,-8.469,0.06,-8.529,-8.469,0.06,,,511.0
L01,2005,2004-10-22,2005-04-22,2005-10-13,64.5040199999996,-20.46323,502.0,1.0,579.0,,,,6.399,0.0875,0.579,-6.978,-6.399,0.579,-6.8905,-6.3115,0.579,,,499.0
L01,2006,2005-10-13,2006-05-16,2006-11-21,64.5040399999996,-20.4631600000001,498.0,2.1,559.0,,,,7.178,0.4725,0.325,-7.503,-7.178,0.2375,-7.0305,-6.793,1.1739,,,495.0
L01,2007,2006-11-21,2007-04-29,2007-11-08,64.5067499999997,-20.46371,522.0,0.6,680.0,,,,7.617,,0.407,-8.024,-7.617,-0.0655,-8.024,-8.0895,0.408,,,519.0
L01,2008,2007-11-08,2008-04-19,2008-11-21,64.5105599999996,-20.4578800000001,579.0,1.69,526.0,,,,7.056,,0.889,-7.945,-7.056,0.889,-7.945,-7.056,0.88894,,,576.0
L01,2009,2008-11-21,2009-04-19,2009-10-21,64.5105799999996,-20.4579900000001,571.0,0.66,725.5,,,,6.372,0.0,0.479,-6.851,-6.372,0.479,-6.851,-6.372,0.47883,,,568.0
L01,2010,2009-10-21,2010-04-17,2010-11-24,64.5106349999997,-20.457781,565.0,0.11,222.0,,,,8.172,0.0,0.024,-8.196,-8.172,0.024,-8.196,-8.172,0.02442,,,562.0
L01,2011,2010-11-24,2011-04-18,2011-09-30,64.5106889999997,-20.457951,555.0,1.19,572.0,,,,5.49,0.0,0.681,-6.171,-5.49,0.681,-6.171,-5.49,0.68068,,,552.0
L01,2012,2011-09-30,2012-04-25,2012-10-01,64.5106119999997,-20.457878,549.0,1.36,480.0,,,,6.042,0.0,0.648,-6.69,-6.042,0.648,-6.69,-6.042,0.6528,,,546.0
L01,2013,2012-10-01,2013-04-23,2013-10-30,64.5106119999997,-20.457878,549.0,0.4,330.0,,,,5.068,0.0,0.133,-5.201,-5.068,0.133,-5.201,-5.068,0.132,,,546.0
L01,2014,2013-10-30,2014-04-30,2014-10-24,64.5139689999996,-20.4506400000001,591.0,0.69,730.0,,,,6.021,0.035,0.504,-6.525,-6.021,0.504,-6.49,-5.986,0.5037,,,588.0
L01,2015,2014-10-24,2015-04-29,2015-10-19,64.5141829999996,-20.450462,589.0,2.53,486.0,,,,3.69,0.0,1.23,-4.92,-3.69,1.195,-4.92,-3.725,1.22958,,,586.0
L01,2016,2015-10-19,2016-04-26,2016-11-04,64.5141139999997,-20.450483,583.0,1.34,548.0,,,,7.461,0.00245,0.734,-8.195,-7.461,0.734,-8.19255,-7.45855,0.73432,,,580.0
L01,2017,2016-11-04,2017-04-26,2017-10-21,64.5141679999996,-20.4504340000001,577.0,1.25,470.0,,,,6.777,0.0,0.59,-7.367,-6.777,0.58755,-7.367,-6.77945,0.5875,,,574.0
L01,2018,2017-10-21,2018-04-25,2018-10-05,64.5141299999997,-20.4504489999999,570.0,1.0,550.0,,,,5.31,0.077,0.55,-5.86,-5.31,0.55,-5.783,-5.233,0.55,,,567.0
L01,2019,2018-10-05,2019-04-25,2019-11-14,64.5141219999997,-20.45047,563.0,0.0,,,,,8.9,0.0,0.0,-8.9,-8.9,-0.077,-8.9,-8.977,0.0,,,560.0
L01,2020,2019-11-14,2020-04-22,2020-10-19,64.5162574310755,-20.4460854302584,590.45599423897,1.08,648.148148148148,,,,6.453,0.0,0.7,-7.153,-6.453,0.7,-7.153,-6.453,0.7,,,587.45599423897
L01,2021,2020-10-19,2021-04-27,2021-11-12,64.5162813671851,-20.4459864764311,585.89,1.35,598.0,,,,5.508,0.07,0.807,-6.315,-5.508,0.807,-6.245,-5.438,0.8073,,,582.89
L01,2022,2021-11-12,2022-04-26,2022-10-06,64.5162813671851,-20.4459864764311,585.89,1.6,590.0,,,,6.048,0.0,0.94,-6.99,-6.05,0.87,-6.99,-6.12,0.944,,,582.89
L02,1997,,1997-04-28,1997-10-12,64.5265528333327,-20.433437333333,759.169989457291,2.13,521.0,,,,2.78,,1.11,-3.89,-2.78,1.11,-3.89,-2.78,1.10973,,,756.169989457291
L02,1998,1997-10-12,1998-04-17,1998-09-16,64.5154999999996,-20.42321,696.0,0.85,557.0,,,,4.877,0.0,0.473,-5.35,-4.877,0.473,-5.35,-4.877,0.47345,,,693.0
L02,1999,1998-09-16,1999-04-22,1999-09-28,64.5150099999997,-20.4235499999999,695.0,0.85,519.0,,,,4.563,0.0,0.441,-5.004,-4.563,0.441,-5.004,-4.563,0.44115,,,692.0
L02,2000,1999-09-28,2000-04-27,2000-10-04,64.5154099999997,-20.42279,700.0,2.0,525.0,,,,3.618,0.126,1.05,-4.668,-3.618,1.05,-4.542,-3.492,1.05,,,697.0
L02,2001,2000-10-04,2001-04-19,2001-10-05,64.5149699999997,-20.4234699999999,694.0,0.88,488.636363636364,,,,4.086,0.0,0.43,-4.516,-4.086,0.304,-4.516,-4.212,0.43,,,691.0
L02,2002,2001-10-05,2002-04-26,2002-10-15,64.5153499999996,-20.4231699999999,692.0,0.91,553.939285714286,,,,6.156,0.0,0.504,-6.66,-6.156,0.504,-6.66,-6.156,0.50408475,,,689.0
L02,2003,2002-10-15,2003-04-26,2003-10-23,64.5191199999996,-20.44492,688.0,0.76,514.492506452362,,,,4.986,0.0,0.39,-5.376,-4.986,0.39,-5.376,-4.986,0.391014304903795,,,685.0
L02,2004,2003-10-23,2004-05-09,2004-10-16,64.5188999999996,-20.44523,686.0,0.55,600.0,,,,5.25,0.0,0.33,-5.58,-5.25,0.33,-5.58,-5.25,0.33,,,683.0
L02,2005,2004-10-16,2005-04-22,2005-10-13,64.5188399999997,-20.4452399999999,679.0,1.97,544.0,,,,3.483,0.028,1.07,-4.553,-3.483,1.07,-4.525,-3.455,1.07168,,,676.0
L02,2006,2005-10-13,2006-05-17,2006-10-18,64.5185999999997,-20.4455599999999,676.0,1.01,650.0,,,,4.401,0.0035,0.65,-5.051,-4.401,0.622,-5.0475,-4.4255,0.6565,,,673.0
L02,2007,2006-10-18,2007-04-28,2007-09-25,64.5188699999997,-20.4453700000001,676.0,1.14,540.0,,,,4.905,0.0175,0.613,-5.518,-4.905,0.6095,-5.5005,-4.891,0.6156,,,673.0
L02,2008,2007-09-25,2008-04-19,2008-10-03,64.5188499999997,-20.4452,669.0,2.24,547.0,,,,4.851,,1.225,-6.076,-4.851,1.2075,-6.076,-4.8685,1.22528,,,666.0
L02,2009,2008-10-03,2009-04-19,2009-10-21,64.5188899999996,-20.4453500000001,665.0,1.43,581.0,,,,4.671,0.091,0.83,-5.501,-4.671,0.83,-5.41,-4.58,0.83083,,,662.0
L02,2010,2009-10-21,2010-04-17,2010-10-04,64.5185699999996,-20.44557,658.0,0.42,410.0,,,,7.956,0.0,0.173,-8.129,-7.956,0.082,-8.129,-8.047,0.1722,,,655.0
L02,2011,2010-10-04,2011-04-18,2011-11-18,64.5189209999996,-20.4453319999999,656.0,1.39,490.0,,,,5.391,0.0,0.682,-6.073,-5.391,0.682,-6.073,-5.391,0.6811,,,653.0
L02,2012,2011-11-18,2012-04-25,2012-10-01,64.5310589999996,-20.431654,751.0,2.54,535.0,,,,2.817,0.0175,1.358,-4.175,-2.817,1.358,-4.1575,-2.7995,1.3589,,,748.0
L02,2013,2012-10-01,2013-04-23,2013-11-19,64.5310589999996,-20.431654,751.0,1.02,478.0,,,,3.258,0.21,0.488,-3.746,-3.258,0.4705,-3.536,-3.0655,0.48756,,,748.0
L02,2014,2013-11-19,2014-04-30,,64.5307009999997,-20.432091,743.0,1.11,612.0,,,,4.761,0.0,0.679,-5.44,-4.761,0.469,-5.44,-4.971,0.67932,,,740.0
