stake,yr,d1,d2,d3,lat,lon,elevation,dw,rhow,ice_melt_spring,ds,rhos,ice_melt_fall,nswe_fall,bw_stratigraphic,bs_stratigraphic,ba_stratigraphic,bw_floating_date,bs_floating_date,ba_floating_date,swew,swes,snow_melt_fall,fall_elevation,RGIId
blt11,2017,2016-10-16,2017-05-01,2017-10-05,64.68772613,-18.95453043,1077.0,3.88,478.0,0.0,,,1.12,0.0,1.85,-2.97,-1.12,1.85,-2.97,-1.12,1.85464,,,1074.0,RGI60-06.00232
blt11,2018,2017-10-05,2018-04-28,2018-10-08,64.68772613,-18.95453043,1078.0,3.33,424.0,0.0,,,0.68,0.15,1.41,-2.09,-0.68,1.41,-1.94,-0.53,1.41192,,,1075.0,RGI60-06.00232
blt11,2019,2018-10-08,2019-04-30,2019-11-05,64.68772613,-18.95453043,1076.0,2.28,575.0,0.0,,,2.87,0.08,1.31,-4.18,-2.87,1.16,-4.1,-2.94,1.311,,,1073.0,RGI60-06.00232
blt11,2020,2019-11-05,2020-04-28,2020-10-10,64.68772613,-18.95453043,1076.0,2.08,459.0,0.0,,,1.87,0.09,0.95,-2.82,-1.87,0.87,-2.73,-1.86,0.95472,,,1073.0,RGI60-06.00232
blt11,2021,2020-10-10,2021-04-29,2021-10-21,64.68772613,-18.95453043,1076.0,1.9,466.0,0.0,0.0,,2.59,0.14,0.89,-3.48,-2.59,0.8,-3.34,-2.54,0.8854,0.0,0.8854,1073.0,RGI60-06.00232
blt11,2022,2021-10-21,2022-04-26,2022-10-17,64.68772613,-18.95453043,1076.0,2.67,568.0,0.0,0.0,,1.6,0.01,1.52,-3.12,-1.6,1.38,-3.11,-1.73,1.51656,0.0,1.51656,1073.0,RGI60-06.00232
blt8,2017,2016-10-16,2017-05-01,2017-10-05,64.66270705,-18.95494239,826.0,2.23,459.0,0.0,,,3.62,0.0,1.02,-4.64,-3.62,1.02,-4.64,-3.62,1.02357,,,823.0,RGI60-06.00232
blt8,2018,2017-10-05,2018-04-28,2018-10-08,64.66270705,-18.95494239,821.0,1.74,456.0,0.0,,,2.63,0.14,0.79,-3.42,-2.63,0.79,-3.28,-2.49,0.79344,,,818.0,RGI60-06.00232
blt8,2019,2018-10-08,2019-04-30,2019-11-05,64.66270705,-18.95494239,817.0,0.41,481.0,0.0,,,5.33,0.06,0.2,-5.53,-5.33,0.06,-5.47,-5.41,0.19721,,,814.0,RGI60-06.00232
blt8,2020,2019-11-05,2020-04-28,2020-10-10,64.66270705,-18.95494239,817.0,1.22,540.0,0.0,,,4.07,0.04,0.66,-4.73,-4.07,0.6,-4.69,-4.09,0.6588,,,814.0,RGI60-06.00232
blt8,2021,2020-10-10,2021-04-29,2021-10-21,64.66270705,-18.95494239,817.0,1.92,563.0,0.0,0.0,,3.56,0.01,1.08,-4.64,-3.56,1.04,-4.63,-3.59,1.08096,0.0,1.08096,814.0,RGI60-06.00232
blt8,2022,2021-10-21,2022-04-26,2022-10-17,64.66270705,-18.95494239,817.0,2.28,538.0,0.0,0.0,,3.56,0.07,1.23,-4.79,-3.56,1.22,-4.72,-3.5,1.22664,0.0,1.22664,814.0,RGI60-06.00232
h18,1988,1987-09-20,1988-04-12,1988-09-24,64.80903589,-18.8693267,1795.5,,,0.0,,,,,2.79,0.4,3.19,2.79,0.4,3.19,,,,1792.5,RGI60-06.00236
h18,1989,1988-09-24,1989-05-25,1989-09-20,64.80903589,-18.8693267,1795.0,,,0.0,,,,,3.57,0.61,4.18,3.57,0.61,4.18,,,,1792.0,RGI60-06.00236
h18,1990,1989-09-20,1990-05-12,1990-09-13,64.80903589,-18.8693267,1794.4,,,0.0,,,,,2.32,0.49,2.81,2.32,0.49,2.81,,,,1791.4,RGI60-06.00236
h18,1991,1990-09-13,1991-05-20,1991-09-12,64.80903589,-18.8693267,1793.8,,,0.0,,,,,3.41,-0.42,2.99,3.41,-0.42,2.99,,,,1790.8,RGI60-06.00236
h18,1992,1991-09-12,1992-05-14,1992-09-20,64.80903589,-18.8693267,1793.2,,,0.0,,,,,4.13,1.18,5.31,4.13,1.18,5.31,,,,1790.2,RGI60-06.00236
h18,1993,1992-09-20,1993-05-17,1993-09-15,64.80903589,-18.8693267,1792.7,,,0.0,,,,,3.08,0.61,3.69,3.08,0.61,3.69,,,,1789.7,RGI60-06.00236
h18,1994,1993-09-15,1994-05-12,1994-09-17,64.80903589,-18.8693267,1792.1,,,0.0,,,,,3.36,0.36,3.72,3.36,0.36,3.72,,,,1789.1,RGI60-06.00236
h18,1995,1994-09-17,1995-05-20,1995-09-16,64.80903589,-18.8693267,1791.5,,,0.0,,,,,2.71,0.71,3.42,2.71,0.71,3.42,,,,1788.5,RGI60-06.00236
h18,1996,1995-09-16,1996-05-11,1996-10-03,64.80903589,-18.8693267,1790.9,,,0.0,,,,,3.02,0.22,3.24,3.02,0.22,3.24,,,,1787.9,RGI60-06.00236
