POLITICAL_UNIT,NAME,WGMS_ID,YEAR,POINT_ID,FROM_DATE,TO_DATE,POINT_LAT,POINT_LON,POINT_ELEVATION,POINT_BALANCE,POINT_BALANCE_UNCERTAINTY,DENSITY,DENSITY_UNCERTAINTY,BALANCE_CODE,REMARKS
IS,,,1995,hn14aa,19940917,19950916,64.8850131,-18.77387068,1450.4,0.64,,,,BA,
IS,,,1996,hn14aa,19950916,19961003,64.8850131,-18.77387068,1449.8,0.53,,,,BA,
IS,,,1999,hn14aa,19981004,19990923,64.8850131,-18.77387068,1448.3,1.04,,,,BA,
IS,,,2000,hn14aa,19990923,20000923,64.8850131,-18.77387068,1447.3,1.38,,513.0,,BA,
IS,,,2001,hn14aa,20000923,20010928,64.8850131,-18.77387068,1446.3,0.79,,499.0,,BA,
IS,,,2003,hn14aa,20021005,20030924,64.8850131,-18.77387068,1444.4,0.25,,522.0,,BA,
IS,,,1996,hn15aa,19950916,19961003,64.86952952,-18.77489585,1503.3,1.06,,,,BA,
IS,,,1998,hn15aa,19970926,19981004,64.86952952,-18.77489585,1502.4,1.2,,,,BA,
IS,,,1999,hn15aa,19981004,19990923,64.86952952,-18.77489585,1502.0,1.54,,,,BA,
IS,,,2000,hn15aa,19990923,20000923,64.86952952,-18.77489585,1501.4,0.52,,505.0,,BA,
IS,,,2001,hn15aa,20000923,20010928,64.86952952,-18.77489585,1500.9,1.92,,496.0,,BA,
IS,,,2017,blt11,20161016,20171005,64.68772613,-18.95453043,1077.0,-1.12,,478.0,,BA,
IS,,,2018,blt11,20171005,20181008,64.68772613,-18.95453043,1078.0,-0.68,,424.0,,BA,
IS,,,2019,blt11,20181008,20191105,64.68772613,-18.95453043,1076.0,-2.87,,575.0,,BA,
IS,,,2020,blt11,20191105,20201010,64.68772613,-18.95453043,1076.0,-1.87,,459.0,,BA,
IS,,,2021,blt11,20201010,20211021,64.68772613,-18.95453043,1076.0,-2.59,,466.0,,BA,
IS,,,2022,blt11,20211021,20221017,64.68772613,-18.95453043,1076.0,-1.6,,568.0,,BA,
IS,,,2017,blt8,20161016,20171005,64.66270705,-18.95494239,826.0,-3.62,,459.0,,BA,
IS,,,2018,blt8,20171005,20181008,64.66270705,-18.95494239,821.0,-2.63,,456.0,,BA,
IS,,,2019,blt8,20181008,20191105,64.66270705,-18.95494239,817.0,-5.33,,481.0,,BA,
IS,,,2020,blt8,20191105,20201010,64.66270705,-18.95494239,817.0,-4.07,,540.0,,BA,
