stake,yr,d1,d2,d3,lat,lon,elevation,dw,rhow,ice_melt_spring,ds,rhos,ice_melt_fall,nswe_fall,bw_stratigraphic,bs_stratigraphic,ba_stratigraphic,bw_floating_date,bs_floating_date,ba_floating_date,swew,swes,snow_melt_fall,fall_elevation,RGIId
B07,1993,,1993-04-30,1993-09-24,64.4287048819342,-16.2903773701494,1350.7,5.05,459.405940594059,,4.75,600.0,,,2.32,0.53,2.85,2.32,0.53,2.85,2.32,2.85,-0.530000000000002,1347.7,RGI60-06.00377
B07,1996,,1996-04-27,1996-09-06,64.4298333333329,-16.291,1350.0,5.02,455.179282868526,,2.56666666666667,600.0,,,2.285,-0.745,1.54,2.285,-0.745,1.54,2.285,1.54,0.744999999999999,1347.0,RGI60-06.00377
B07,1997,1996-09-06,1997-05-13,1997-09-19,64.4288822247592,-16.2910716110283,1352.6,3.39,426.253687315634,,0.68,600.0,,0.0105,1.445,-1.037,0.408,1.445,-1.0265,0.4185,1.445,0.408,1.037,1349.6,RGI60-06.00377
B07,1998,1997-09-19,1998-05-05,1998-09-26,64.4297146666663,-16.2905380000001,1350.0,3.58,462.569832402235,,1.22666666666667,600.0,,0.042,1.656,-0.92,0.736,1.6455,-0.878,0.7675,1.656,0.736000000000002,0.919999999999999,1347.0,RGI60-06.00377
B07,1999,1998-09-26,1999-05-02,1999-09-22,64.4296499999996,-16.2910499999999,1354.0,3.64,468.681318681319,,1.44,600.0,,0.0735,1.706,-0.842,0.864,1.664,-0.7685,0.8955,1.706,0.864,0.842000000000001,1351.0,RGI60-06.00377
B07,2000,1999-09-22,2000-05-04,2000-09-14,64.4299999999997,-16.2909166666667,1354.0,3.07128309572301,491.0,,0.198333333333333,600.0,,0.1645,1.508,-1.389,0.119,1.4345,-1.2245,0.21,1.508,0.119,1.389,1351.0,RGI60-06.00377
B07,2001,2000-09-14,2001-04-25,2001-09-18,64.4298499999996,-16.2908666666667,1353.0,4.26,482.159624413146,,2.25,600.0,,0.0,2.054,-0.704,1.35,1.8895,-0.704,1.1855,2.054,1.35,0.704000000000002,1350.0,RGI60-06.00377
B07,2002,2001-09-18,2002-05-05,2002-09-14,64.4298556130553,-16.2906785205206,1359.9,5.22,353.256704980843,,2.42,600.0,,,1.844,-0.392,1.452,1.844,-0.392,1.452,1.844,1.452,0.392,1356.9,RGI60-06.00377
B07,2003,2002-09-14,2003-05-04,2003-09-24,64.4298546955798,-16.2906764924209,1357.0,6.87659574468085,470.0,,3.46166666666667,600.0,,,3.232,-1.155,2.077,3.232,-1.155,2.077,3.232,2.077,1.155,1354.0,RGI60-06.00377
B07,2004,2003-09-24,2004-04-30,2004-09-27,64.4298625958031,-16.2906405971801,1358.89,4.09,485.330073349633,,1.29833333333333,600.0,,0.119,1.985,-1.206,0.779,1.985,-1.087,0.898,1.985,0.778999999999998,1.206,1355.89,RGI60-06.00377
B07,2005,2004-09-27,2005-05-09,2005-10-05,64.4298867285303,-16.2905862625921,1354.3,2.87,535.540069686411,,,,0.105,0.175,1.537,-1.642,-0.105,1.418,-1.467,-0.049,1.537,,,1351.3,RGI60-06.00377
B07,2006,2005-10-05,2006-05-06,2006-09-23,64.4298955413082,-16.2905288775071,1358.2,4.59,484.0,,1.95166666666667,600.0,0.0,0.0105,2.225,-1.054,1.171,2.05,-1.0435,1.0065,2.22156,1.171,1.05056,1355.2,RGI60-06.00377
B07,2007,2006-09-23,2007-05-05,2007-10-07,64.4298541518033,-16.2905967669087,1358.61,4.59,498.0,,2.0,600.0,0.0,0.119,2.288,-1.088,1.2,2.2775,-0.969,1.3085,2.28582,1.2,1.08582,1355.61,RGI60-06.00377
B07,2008,2007-10-07,2008-05-05,2008-09-27,64.429915328615,-16.2905695045702,1358.8,4.75,490.0,,1.955,600.0,0.0,0.0,2.329,-1.156,1.173,2.21,-1.156,1.054,2.3275,1.173,1.1545,1355.8,RGI60-06.00377
B07,2009,2008-09-27,2009-05-16,2009-10-14,64.4297865948123,-16.2904784002387,1358.15,4.13,448.0,,1.7,600.0,0.0,0.2415,1.85,-0.83,1.02,1.85,-0.5885,1.2615,1.85024,1.02,0.83024,1355.15,RGI60-06.00377
B07,2010,2009-10-14,2010-05-08,2010-10-07,64.4299037554039,-16.290511857127,1357.72,3.59,542.0,,0.05,600.0,0.0,0.28,1.947,-1.917,0.03,1.7055,-1.637,0.0685,1.94578,0.03,1.91578,1354.72,RGI60-06.00377
B07,2011,2010-10-07,2011-05-11,2011-10-20,64.4299338902313,-16.2905730643434,1357.38,4.98,525.0,,2.58333333333333,600.0,0.0,0.3395,2.61,-1.06,1.55,2.33,-0.7205,1.6095,2.6145,1.55,1.0645,1354.38,RGI60-06.00377
B07,2012,2011-10-20,2012-05-07,2012-10-08,64.4299594945847,-16.290675649956,1357.4228091033,4.72,477.0,,1.98,600.0,0.0,0.1925,2.25,-1.062,1.188,1.9105,-0.8695,1.041,2.25144,1.188,1.06344,1354.4228091033,RGI60-06.00377
B07,2013,2012-10-08,2013-05-08,2013-10-03,64.4299280705641,-16.2909760721775,1357.42,5.25,463.0,,2.65,600.0,0.0,0.063,2.43,-0.84,1.59,2.2375,-0.777,1.4605,2.43075,1.59,0.84075,1354.42,RGI60-06.00377
B07,2014,2013-10-03,2014-05-07,2014-10-11,64.4298828447459,-16.2908708626497,1357.67,4.63,511.0,,1.88,600.0,0.0,0.252,2.365,-1.237,1.128,2.302,-0.985,1.317,2.36593,1.128,1.23793,1354.67,RGI60-06.00377
B07,2015,2014-10-11,2015-05-13,2015-10-22,64.4298828447459,-16.2908708626497,1357.67,5.47,479.0,,2.75,600.0,0.0,0.1225,2.62,-0.97,1.65,2.368,-0.8475,1.5205,2.62013,1.65,0.97013,1354.67,RGI60-06.00377
B07,2016,2015-10-22,2016-05-08,2016-10-10,64.4297730225567,-16.2909378544351,1359.14,4.02,480.0,,1.06666666666667,600.0,0.0,0.182,1.93,-1.29,0.64,1.8075,-1.108,0.6995,1.9296,0.640000000000002,1.2896,1356.14,RGI60-06.00377
B07,2017,2016-10-10,2017-05-04,2017-10-24,64.4299600172971,-16.2908249774046,1359.85,5.0,515.0,,3.445,600.0,0.0,0.189,2.58,-0.513,2.067,2.398,-0.324,2.074,2.575,2.067,0.508,1356.85,RGI60-06.00377
B07,2018,2017-10-24,2018-05-09,2018-10-09,64.429910591099,-16.290923830606,1360.0656746642,4.96,481.0,,2.0,600.0,0.0,0.21,2.384,-1.184,1.2,2.195,-0.974,1.221,2.38576,1.2,1.18576,1357.0656746642,RGI60-06.00377
B07,2019,2018-10-09,2019-05-01,2019-10-18,64.4300087293766,-16.291069871592,1359.73,5.01,508.0,,1.95,600.0,0.0,0.203,2.54508,-1.37508,1.17,2.33508,-1.17208,1.163,2.54508,1.17,1.37508,1356.73,RGI60-06.00377
B07,2020,2019-10-18,2020-06-04,2020-10-09,64.4299431703912,-16.2911368342522,1358.78,4.51,471.0,,1.49,600.0,0.0,0.2275,2.13,-1.236,0.894,1.927,-1.0085,0.9185,2.12421,0.894,1.23021,1355.78,RGI60-06.00377
B07,2021,2020-10-09,2021-05-01,2021-10-15,64.4299453275995,-16.2912920244457,1359.09,4.03,479.0,,1.03,600.0,,0.21,1.929,-1.311,0.618,1.7015,-1.101,0.6005,1.93037,0.618,1.31237,1356.09,RGI60-06.00377
B07,2022,2021-10-15,2022-05-03,2022-10-17,64.4298860604975,-16.2912721421466,1359.08,4.4,513.0,,1.79,600.0,,0.196,2.256,-1.182,1.074,2.046,-0.986,1.06,2.2572,1.074,1.1832,1356.08,RGI60-06.00377
B08,1993,,1993-04-29,1993-09-25,64.7736416518845,-16.0431596221482,723.0,1.18,550.847457627119,,,,3.47,,0.65,-4.12,-3.47,0.65,-4.12,-3.47,0.65,,,720.0,RGI60-06.00377
B08,1994,1993-09-25,1994-05-08,1994-09-15,64.7667050473112,-16.0325928899371,750.6,0.94,574.468085106383,,,,3.21,,0.54,-3.75,-3.21,0.54,-3.75,-3.21,0.54,,,747.6,RGI60-06.00377
B08,1995,1994-09-15,1995-05-03,,64.7766607457982,-16.0565003060087,715.0,0.88,613.636363636364,,,,,,0.54,,,0.54,,,0.54,,,712.0,
B08,1996,,1996-05-05,1996-10-01,64.770833333333,-16.075,725.0,0.87,511.494252873563,,,,4.71,0.0,0.445,-5.155,-4.71,0.445,-5.155,-4.71,0.445,,,722.0,RGI60-06.00377
B08,1997,1996-10-01,1997-05-18,1997-10-18,64.770602157307,-16.0746045469724,725.1,0.14,321.428571428571,,,,5.243,0.0875,0.045,-5.288,-5.243,0.045,-5.2005,-5.1555,0.0449999999999999,,,722.1,RGI60-06.00377
B08,1998,,1998-05-04,1998-10-19,64.7705096666664,-16.0745823333334,720.0,0.35,431.428571428571,,,,4.752,0.0525,0.151,-4.903,-4.752,0.0635,-4.8505,-4.787,0.151,,,717.0,RGI60-06.00377
B08,1999,1998-10-19,1999-05-06,1999-11-08,64.7704666666663,-16.0743666666666,723.0,0.5,400.0,,,,5.337,0.0,0.2,-5.537,-5.337,0.1475,-5.537,-5.3895,0.2,,,720.0,RGI60-06.00377
B08,2000,1999-11-08,2000-05-02,2000-10-07,64.771083333333,-16.0702833333333,705.0,0.1,500.0,,,,6.048,0.0,0.05,-6.098,-6.048,0.05,-6.098,-6.048,0.05,,,702.0,RGI60-06.00377
B08,2001,2000-10-07,2001-05-02,2001-09-17,64.760483333333,-16.0709666666667,751.0,1.42,443.661971830986,,,,3.924,0.0,0.63,-4.554,-3.924,0.63,-4.554,-3.924,0.63,,,748.0,RGI60-06.00377
B08,2002,2001-09-17,2002-05-04,2002-09-13,64.760532397403,-16.0710144195213,750.5,0.55,423.636363636364,,,,4.956,0.0,0.233,-5.189,-4.956,0.233,-5.189,-4.956,0.233,,,747.5,RGI60-06.00377
B08,2003,2002-09-13,2003-05-08,2003-09-30,64.7603122265762,-16.0777495715112,750.0,0.2,300.0,,,,5.661,0.0,0.06,-5.721,-5.661,0.06,-5.721,-5.661,0.06,,,747.0,RGI60-06.00377
B08,2004,2003-09-30,2004-04-28,2004-09-30,64.7603208584141,-16.0777460491189,745.23,0.0,,,,,6.111,0.0,0.0,-6.111,-6.111,0.0,-6.111,-6.111,0.0,,,742.23,RGI60-06.00377
B08,2005,2004-09-30,2005-05-05,2005-10-05,64.7603091971361,-16.0777762336235,735.94,0.0,,0.342,,,4.446,0.035,-0.342,-4.446,-4.788,-0.342,-4.411,-4.753,0.0,,,732.94,RGI60-06.00377
B08,2006,2005-10-05,2006-05-01,2006-09-23,64.7603172747836,-16.0777601091532,733.76,0.4,0.0,,,,5.13,0.0175,0.25,-5.38,-5.13,0.215,-5.3625,-5.1475,0.0,,,730.76,RGI60-06.00377
B08,2007,2006-09-23,2007-05-10,2007-10-07,64.7566307220155,-16.096675105493,753.25,0.05,573.0,,,,5.2664,0.0,0.0286,-5.295,-5.2664,0.0111,-5.295,-5.2839,0.02865,,,750.25,RGI60-06.00377
B08,2008,2007-10-07,2008-05-03,2008-10-02,64.7566583849565,-16.0966662395128,748.08,1.5,513.0,,,,4.401,0.245,0.77,-5.171,-4.401,0.77,-4.926,-4.156,0.7695,,,745.08,RGI60-06.00377
B08,2009,2008-10-02,2009-05-15,2009-10-14,64.7566553740907,-16.0967004223739,742.12,0.64,441.0,,,,4.797,0.007,0.282,-5.079,-4.797,0.037,-5.072,-5.035,0.28224,,,739.12,RGI60-06.00377
B08,2010,2009-10-14,2010-05-06,2010-10-07,64.7566469963079,-16.0967036374391,737.07,0.74,635.5,,,,5.742,0.0,0.47,-6.212,-5.742,0.463,-6.212,-5.749,0.47027,,,734.07,RGI60-06.00377
B09,1993,,1993-04-29,1993-09-25,64.7624320224034,-16.0838467280244,782.5,1.3,500.0,,,,2.79,,0.65,-3.44,-2.79,0.65,-3.44,-2.79,0.65,,,779.5,RGI60-06.00377
B09,1995,1994-09-15,1995-05-03,1995-09-27,64.7632452902712,-16.0848799822031,770.8,2.73,549.450549450549,,,,3.252,0.0,1.5,-4.812,-3.252,1.5,-4.812,-3.252,1.5,,,767.8,RGI60-06.00377
B09,1996,1995-09-27,1996-05-05,1996-10-01,64.7619999999997,-16.0834999999999,775.0,1.47,540.816326530612,,,,3.995,0.0,0.795,-4.79,-3.995,0.795,-4.79,-3.995,0.795,,,772.0,RGI60-06.00377
B09,1997,1996-10-01,1997-05-18,1997-10-18,64.7619978328782,-16.0829746312865,761.7,0.26,480.769230769231,,,,4.887,0.1225,0.125,-5.012,-4.887,0.125,-4.8895,-4.7645,0.125,,,758.7,RGI60-06.00377
B09,1998,1997-10-18,1998-05-04,1998-10-19,64.7619554999997,-16.0831948333332,760.0,0.3,400.0,,,,3.708,0.0525,0.12,-3.828,-3.708,-0.0025,-3.7755,-3.778,0.12,,,757.0,RGI60-06.00377
B09,1999,1998-10-19,1999-05-06,1999-11-08,64.761883333333,-16.0834,761.0,0.86,461.627906976744,,,,4.545,0.0,0.397,-4.942,-4.545,0.3445,-4.942,-4.5975,0.397,,,758.0,RGI60-06.00377
B09,2000,1999-11-08,2000-05-02,2000-10-07,64.761883333333,-16.0834,755.0,0.2,500.0,,,,5.175,0.0,0.1,-5.275,-5.175,0.1,-5.275,-5.175,0.1,,,752.0,RGI60-06.00377
B09,2001,2000-10-07,2001-05-02,2001-09-17,64.7618499999996,-16.0832333333334,749.0,1.26,444.444444444444,,,,3.096,0.0,0.56,-3.656,-3.096,0.56,-3.656,-3.096,0.559999999999999,,,746.0,RGI60-06.00377
B09,2002,2001-09-17,2002-05-04,2002-09-13,64.7619483988298,-16.0833144500215,745.3,0.58,362.068965517241,,,,4.047,0.0,0.21,-4.257,-4.047,0.21,-4.257,-4.047,0.21,,,742.3,RGI60-06.00377
B09,2003,2002-09-13,2003-05-08,2003-09-30,64.7576436120994,-16.0873084638496,768.0,0.2,300.0,,,,5.094,0.0,0.06,-5.154,-5.094,0.06,-5.154,-5.094,0.06,,,765.0,RGI60-06.00377
B09,2004,2003-09-30,2004-04-28,2004-09-30,64.7576289377142,-16.0872746319357,758.62,0.210247349823322,808.571428571428,,,,5.292,0.0,0.17,-5.462,-5.292,0.17,-5.462,-5.292,0.17,,,755.62,RGI60-06.00377
B09,2005,2004-09-30,2005-05-05,2005-10-05,64.7576350157272,-16.0872777612027,755.945,0.0,,0.51,,,4.266,0.063,-0.51,-4.266,-4.776,-0.51,-4.203,-4.713,0.0,,,752.945,RGI60-06.00377
B09,2006,2005-10-05,2006-05-01,2006-09-23,64.7576417196993,-16.0872761960082,752.71,0.4,0.0,,,,5.436,0.0175,0.25,-5.686,-5.436,0.187,-5.6685,-5.4815,0.0,,,749.71,RGI60-06.00377
B09,2007,2006-09-23,2007-05-10,2007-10-07,64.7576440760861,-16.0872544897065,746.01,0.05,573.0,,,,5.5724,0.0,0.0286,-5.601,-5.5724,0.0111,-5.601,-5.5899,0.02865,,,743.01,RGI60-06.00377
B09,2008,2007-10-07,2008-05-03,2008-10-02,64.7576461003867,-16.0872250377115,740.47,1.2,506.0,,,,4.365,0.245,0.608,-4.973,-4.365,0.608,-4.728,-4.12,0.6072,,,737.47,RGI60-06.00377
