stake,yr,d1,d2,d3,lat,lon,elevation,rhow,rhos,bw_stratigraphic,bs_stratigraphic,ba_stratigraphic,bw_floating_date,bs_floating_date,ba_floating_date,GLIMSId,Name
hn14aa,1995,17/09/1994,20/05/1995,16/09/1995,64.8850131,-18.77387068,1450.4,,,2.07,-1.43,0.64,2.07,-1.43,0.64,G341234E64913N,
hn14aa,1996,16/09/1995,11/05/1996,03/10/1996,64.8850131,-18.77387068,1449.8,,,1.83,-1.3,0.53,1.83,-1.3,0.53,G341234E64913N,
hn14aa,1999,04/10/1998,15/05/1999,23/09/1999,64.8850131,-18.77387068,1448.3,,,,,1.04,,,1.04,G341234E64913N,
hn14aa,2000,23/09/1999,13/05/2000,23/09/2000,64.8850131,-18.77387068,1447.3,513,600,2.49,-1.11,1.38,2.49,-0.97,1.52,G341234E64913N,
hn14aa,2001,23/09/2000,11/05/2001,28/09/2001,64.8850131,-18.77387068,1446.3,499,600,1.63,-0.84,0.79,1.49,-0.83,0.66,G341234E64913N,
hn14aa,2003,05/10/2002,14/05/2003,24/09/2003,64.8850131,-18.77387068,1444.4,522,600,1.96,-1.72,0.25,1.96,-1.64,0.33,G341234E64913N,
hn15aa,1996,16/09/1995,11/05/1996,03/10/1996,64.86952952,-18.77489585,1503.3,,,2.27,-1.21,1.06,2.27,-1.21,1.06,G341234E64913N,
hn15aa,1998,26/09/1997,15/05/1998,04/10/1998,64.86952952,-18.77489585,1502.4,,,1.85,-0.65,1.2,1.85,-0.65,1.2,G341234E64913N,
hn15aa,1999,04/10/1998,15/05/1999,23/09/1999,64.86952952,-18.77489585,1502,,,1.96,-0.42,1.54,1.96,-0.42,1.54,G341234E64913N,
hn15aa,2000,23/09/1999,13/05/2000,23/09/2000,64.86952952,-18.77489585,1501.4,505,600,1.73,-1.2,0.52,1.73,-1.04,0.68,G341234E64913N,
hn15aa,2001,23/09/2000,11/05/2001,28/09/2001,64.86952952,-18.77489585,1500.9,496,600,2.39,-0.47,1.92,2.23,-0.46,1.77,G341234E64913N,
blt11,2017,16/10/2016,01/05/2017,05/10/2017,64.68772613,-18.95453043,1077,478,,1.85,-2.97,-1.12,1.85,-2.97,-1.12,G341071E64709N,
blt11,2018,05/10/2017,28/04/2018,08/10/2018,64.68772613,-18.95453043,1078,424,,1.41,-2.09,-0.68,1.41,-1.94,-0.53,G341071E64709N,
blt11,2019,08/10/2018,30/04/2019,05/11/2019,64.68772613,-18.95453043,1076,575,,1.31,-4.18,-2.87,1.16,-4.1,-2.94,G341071E64709N,
blt11,2020,05/11/2019,28/04/2020,10/10/2020,64.68772613,-18.95453043,1076,459,,0.95,-2.82,-1.87,0.87,-2.73,-1.86,G341071E64709N,
blt11,2021,10/10/2020,29/04/2021,21/10/2021,64.68772613,-18.95453043,1076,466,,0.89,-3.48,-2.59,0.8,-3.34,-2.54,G341071E64709N,
blt11,2022,21/10/2021,26/04/2022,17/10/2022,64.68772613,-18.95453043,1076,568,,1.52,-3.12,-1.6,1.38,-3.11,-1.73,G341071E64709N,
blt8,2017,16/10/2016,01/05/2017,05/10/2017,64.66270705,-18.95494239,826,459,,1.02,-4.64,-3.62,1.02,-4.64,-3.62,G341071E64709N,
blt8,2018,05/10/2017,28/04/2018,08/10/2018,64.66270705,-18.95494239,821,456,,0.79,-3.42,-2.63,0.79,-3.28,-2.49,G341071E64709N,
