YEAR,POINT_ID,POINT_LAT,POINT_LON,POINT_ELEVATION,TO_DATE,FROM_DATE,POINT_BALANCE
1995,hn14aa,64.8850131,-18.77387068,1450.4,19950520,19940917,2.07
1995,hn14aa,64.8850131,-18.77387068,1450.4,19950916,19950520,-1.43
1995,hn14aa,64.8850131,-18.77387068,1450.4,19950916,19940917,0.64
1996,hn14aa,64.8850131,-18.77387068,1449.8,19960511,19950916,1.83
1996,hn14aa,64.8850131,-18.77387068,1449.8,19961003,19960511,-1.3
1996,hn14aa,64.8850131,-18.77387068,1449.8,19961003,19950916,0.53
1999,hn14aa,64.8850131,-18.77387068,1448.3,19990515,19981004,
1999,hn14aa,64.8850131,-18.77387068,1448.3,19990923,19990515,
1999,hn14aa,64.8850131,-18.77387068,1448.3,19990923,19981004,1.04
2000,hn14aa,64.8850131,-18.77387068,1447.3,20000513,19990923,2.49
2000,hn14aa,64.8850131,-18.77387068,1447.3,20000923,20000513,-1.11
2000,hn14aa,64.8850131,-18.77387068,1447.3,20000923,19990923,1.38
2001,hn14aa,64.8850131,-18.77387068,1446.3,20010511,20000923,1.63
2001,hn14aa,64.8850131,-18.77387068,1446.3,20010928,20010511,-0.84
2001,hn14aa,64.8850131,-18.77387068,1446.3,20010928,20000923,0.79
2003,hn14aa,64.8850131,-18.77387068,1444.4,20030514,20021005,1.96
2003,hn14aa,64.8850131,-18.77387068,1444.4,20030924,20030514,-1.72
2003,hn14aa,64.8850131,-18.77387068,1444.4,20030924,20021005,0.25
1996,hn15aa,64.86952952,-18.77489585,1503.3,19960511,19950916,2.27
1996,hn15aa,64.86952952,-18.77489585,1503.3,19961003,19960511,-1.21
1996,hn15aa,64.86952952,-18.77489585,1503.3,19961003,19950916,1.06
1998,hn15aa,64.86952952,-18.77489585,1502.4,19980515,19970926,1.85
1998,hn15aa,64.86952952,-18.77489585,1502.4,19981004,19980515,-0.65
1998,hn15aa,64.86952952,-18.77489585,1502.4,19981004,19970926,1.2
1999,hn15aa,64.86952952,-18.77489585,1502.0,19990515,19981004,1.96
1999,hn15aa,64.86952952,-18.77489585,1502.0,19990923,19990515,-0.42
1999,hn15aa,64.86952952,-18.77489585,1502.0,19990923,19981004,1.54
2000,hn15aa,64.86952952,-18.77489585,1501.4,20000513,19990923,1.73
2000,hn15aa,64.86952952,-18.77489585,1501.4,20000923,20000513,-1.2
2000,hn15aa,64.86952952,-18.77489585,1501.4,20000923,19990923,0.52
2001,hn15aa,64.86952952,-18.77489585,1500.9,20010511,20000923,2.39
2001,hn15aa,64.86952952,-18.77489585,1500.9,20010928,20010511,-0.47
2001,hn15aa,64.86952952,-18.77489585,1500.9,20010928,20000923,1.92
2017,blt11,64.68772613,-18.95453043,1077.0,20170501,20161016,1.85
2017,blt11,64.68772613,-18.95453043,1077.0,20171005,20170501,-2.97
2017,blt11,64.68772613,-18.95453043,1077.0,20171005,20161016,-1.12
2018,blt11,64.68772613,-18.95453043,1078.0,20180428,20171005,1.41
2018,blt11,64.68772613,-18.95453043,1078.0,20181008,20180428,-2.09
2018,blt11,64.68772613,-18.95453043,1078.0,20181008,20171005,-0.68
2019,blt11,64.68772613,-18.95453043,1076.0,20190430,20181008,1.31
2019,blt11,64.68772613,-18.95453043,1076.0,20191105,20190430,-4.18
2019,blt11,64.68772613,-18.95453043,1076.0,20191105,20181008,-2.87
2020,blt11,64.68772613,-18.95453043,1076.0,20200428,20191105,0.95
2020,blt11,64.68772613,-18.95453043,1076.0,20201010,20200428,-2.82
2020,blt11,64.68772613,-18.95453043,1076.0,20201010,20191105,-1.87
2021,blt11,64.68772613,-18.95453043,1076.0,20210429,20201010,0.89
2021,blt11,64.68772613,-18.95453043,1076.0,20211021,20210429,-3.48
2021,blt11,64.68772613,-18.95453043,1076.0,20211021,20201010,-2.59
2022,blt11,64.68772613,-18.95453043,1076.0,20220426,20211021,1.52
2022,blt11,64.68772613,-18.95453043,1076.0,20221017,20220426,-3.12
2022,blt11,64.68772613,-18.95453043,1076.0,20221017,20211021,-1.6
2017,blt8,64.66270705,-18.95494239,826.0,20170501,20161016,1.02
2017,blt8,64.66270705,-18.95494239,826.0,20171005,20170501,-4.64
2017,blt8,64.66270705,-18.95494239,826.0,20171005,20161016,-3.62
2018,blt8,64.66270705,-18.95494239,821.0,20180428,20171005,0.79
2018,blt8,64.66270705,-18.95494239,821.0,20181008,20180428,-3.42
2018,blt8,64.66270705,-18.95494239,821.0,20181008,20171005,-2.63
