MONTH,ID,POINT_ID,YEAR,N_MONTHS,POINT_LON,POINT_LAT,POINT_BALANCE,ALTITUDE_CLIMATE,ELEVATION_DIFFERENCE,aspect,slope,t2m,tp,slhf,sshf,ssrd,fal,str
oct,0,hn14aa,1995,7,-18.77387068,64.8850131,2.07,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,267.88568155189944,0.0050710322408527705,-32688.346893930808,190854.63347092317,3434260.410100637,0.8500045509330616,-1029337.4111363743
nov,0,hn14aa,1995,7,-18.77387068,64.8850131,2.07,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,266.3763455097885,0.006052936812501167,301104.08365251124,828053.8479105947,842499.4763249066,0.8499916030008673,-1431540.3526467583
dec,0,hn14aa,1995,7,-18.77387068,64.8850131,2.07,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,263.0490108551286,0.005854226695332885,248241.74519707635,995440.8906648178,132217.12301626801,0.8499916030008673,-2002828.6103642443
jan,0,hn14aa,1995,7,-18.77387068,64.8850131,2.07,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,261.6928097316846,0.004155728312870666,348585.22597775236,1243700.3248620927,488457.8079574425,0.8499916030008673,-1792889.3469473398
feb,0,hn14aa,1995,7,-18.77387068,64.8850131,2.07,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,261.14008838462115,0.002286906972835635,274514.64395037666,1004844.6571116843,2580602.176186044,0.8500045509330616,-1861757.4293867215
mar,0,hn14aa,1995,7,-18.77387068,64.8850131,2.07,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,261.68371734588874,0.002901598159460594,151221.94437916856,860026.6538299406,8206126.375053409,0.8500045509330616,-2397527.76565242
apr,0,hn14aa,1995,7,-18.77387068,64.8850131,2.07,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,265.03880770455703,0.0021595286925995567,-232109.14465994202,364260.08675114065,15410984.277159981,0.8500045509330616,-2476734.397997956
may,0,hn14aa,1995,7,-18.77387068,64.8850131,2.07,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,270.0573261172449,0.0010797248141411458,-306812.8085849872,25724.49466394796,20602422.6043768,0.8500045509330616,-2374849.656180856
jun,1,hn14aa,1995,3,-18.77387068,64.8850131,-1.43,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,274.6982712460945,0.002028511032928162,1498.0755802425556,805484.8084381153,20528975.450814858,0.8500045509330616,-1129721.3957090327
jul,1,hn14aa,1995,3,-18.77387068,64.8850131,-1.43,1333.9236122108978,-116.47638778910232,1.606406331062317,0.05624557286500931,275.2931046957914,0.0012693364827211367,-378667.60397051834,952559.7156671067,18984386.209440283,0.8500045509330616,-1427204.8317183712
