POLITICAL_UNIT,NAME,WGMS_ID,YEAR,POINT_ID,FROM_DATE,TO_DATE,POINT_LAT,POINT_LON,POINT_ELEVATION,POINT_BALANCE,POINT_BALANCE_UNCERTAINTY,DENSITY,DENSITY_UNCERTAINTY,BALANCE_CODE,REMARKS
NO,HELLSTUGUBREEN,300,2010,13,20099999,20109999,61.57347488,8.444278717041016,1578,-2934,,,,BA,
NO,HELLSTUGUBREEN,300,2010,13,20099999,20109999,61.57347488,8.444278717041016,1578,-3273,,,,BS,
NO,HELLSTUGUBREEN,300,2010,13,20099999,20109999,61.57347488,8.444278717041016,1578,339,,,,BW,
NO,HELLSTUGUBREEN,300,2010,20,20099999,20109999,61.57013702392578,8.445525169372559,1653,-2430,,,,BA,
NO,HELLSTUGUBREEN,300,2010,20,20099999,20109999,61.57013702392578,8.445525169372559,1653,-2922,,,,BS,
NO,HELLSTUGUBREEN,300,2010,20,20099999,20109999,61.57013702392578,8.445525169372559,1653,492,,,,BW,
NO,HELLSTUGUBREEN,300,2010,26,20099999,20109999,61.56711196899414,8.445352554321289,1706,-1800,,,,BA,
NO,HELLSTUGUBREEN,300,2010,26,20099999,20109999,61.56711196899414,8.445352554321289,1706,-2596,,,,BS,
NO,HELLSTUGUBREEN,300,2010,26,20099999,20109999,61.56711196899414,8.445352554321289,1706,796,,,,BW,
NO,HELLSTUGUBREEN,300,2010,30,20099999,20109999,61.55642318725586,8.439728736877441,1911,-1134,,,,BA,
NO,HELLSTUGUBREEN,300,2010,30,20099999,20109999,61.55642318725586,8.439728736877441,1911,-1926,,,,BS,
NO,HELLSTUGUBREEN,300,2010,30,20099999,20109999,61.55642318725586,8.439728736877441,1911,792,,,,BW,
NO,HELLSTUGUBREEN,300,2010,44,20099999,20109999,61.55700684,8.443538665771484,1905,-1145,,,,BA,
NO,HELLSTUGUBREEN,300,2010,44,20099999,20109999,61.55700684,8.443538665771484,1905,-1960,,,,BS,
NO,HELLSTUGUBREEN,300,2010,44,20099999,20109999,61.55700684,8.443538665771484,1905,814,,,,BW,
NO,HELLSTUGUBREEN,300,2010,46,20099999,20109999,61.55057907104492,8.450897216796875,1964,-963,,,,BA,
NO,HELLSTUGUBREEN,300,2010,46,20099999,20109999,61.55057907104492,8.450897216796875,1964,-1782,,,,BS,
NO,HELLSTUGUBREEN,300,2010,46,20099999,20109999,61.55057907104492,8.450897216796875,1964,819,,,,BW,
NO,HELLSTUGUBREEN,300,2011,13,20109999,20119999,61.57329559326172,8.443759918,1583,-5013,,,,BA,
NO,HELLSTUGUBREEN,300,2011,13,20109999,20119999,61.57329559326172,8.443759918,1583,-5348,,,,BS,
NO,HELLSTUGUBREEN,300,2011,13,20109999,20119999,61.57329559326172,8.443759918,1583,335,,,,BW,
NO,HELLSTUGUBREEN,300,2011,26,20109999,20119999,61.56706237792969,8.446482658,1702,-3645,,,,BA,
NO,HELLSTUGUBREEN,300,2011,26,20109999,20119999,61.56706237792969,8.446482658,1702,-4317,,,,BS,
NO,HELLSTUGUBREEN,300,2011,26,20109999,20119999,61.56706237792969,8.446482658,1702,672,,,,BW,
NO,HELLSTUGUBREEN,300,2011,46,20109999,20119999,61.55039215087891,8.450655937194824,1953,-1104,,,,BA,
NO,HELLSTUGUBREEN,300,2011,46,20109999,20119999,61.55039215087891,8.450655937194824,1953,-2131,,,,BS,
NO,HELLSTUGUBREEN,300,2011,46,20109999,20119999,61.55039215087891,8.450655937194824,1953,1027,,,,BW,
NO,JUVFONNE,3661,2010,2,20090999,20100519,61.677345,8.351158,1886,700,150,456,60,IN,"measurements started 19 May 2010, measurement to previouse summer surface"
NO,JUVFONNE,3661,2010,2,20090999,20101009,61.677345,8.351158,1886,-3700,150,900,30,IN,"measurements started 19 May 2010, measurement to previouse summer surface"
NO,JUVFONNE,3661,2011,2,20101009,20110506,61.677345,8.351158,1885,1170,150,440,60,IN,
NO,JUVFONNE,3661,2011,2,20101009,20111010,61.677345,8.351158,1885,-1880,150,900,30,IN,
NO,JUVFONNE,3661,2012,2,20111010,20120611,61.677345,8.351158,1884,1440,150,515,60,IN,
NO,JUVFONNE,3661,2012,2,20111010,20120912,61.677345,8.351158,1884,70,150,600,60,IN,
NO,JUVFONNE,3661,2013,2,20120912,20130525,61.677345,8.351158,1882,960,150,490,60,IN,
NO,JUVFONNE,3661,2013,2,20120912,20130911,61.677345,8.351158,1882,-1550,150,900,30,IN,
NO,JUVFONNE,3661,2014,2,20130911,20140512,61.677345,8.351158,1882,1210,150,463,60,IN,
NO,JUVFONNE,3661,2014,2,20130911,20140909,61.677345,8.351158,1882,-2300,150,900,30,IN,
NO,JUVFONNE,3661,2015,2,20140909,20150513,61.677345,8.351158,1880,1460,150,451,60,IN,
NO,JUVFONNE,3661,2015,2,20140909,20150911,61.677345,8.351158,1880,570,150,598,60,IN,
NO,NIGARDSBREEN,290,2006,1000,20059999,20069999,61.69400024414062,7.160999774932861,986,-6300,,,,BA,Net balance value
NO,NIGARDSBREEN,290,2006,54,20059999,20069999,61.70800018310547,7.110000133514404,1612,-1070,,,,BA,Net balance value
NO,NIGARDSBREEN,290,2006,55,20059999,20069999,61.71699905395508,7.153999805450439,1465,-1660,,,,BA,Net balance value
NO,NIGARDSBREEN,290,2006,56,20059999,20069999,61.69100189208984,7.078000068664551,1797,-600,,,,BA,Net balance value
NO,NIGARDSBREEN,290,2006,57,20059999,20069999,61.67800140380859,7.038000106811523,1962,-420,,,,BA,Net balance value
NO,NIGARDSBREEN,290,2006,600,20059999,20069999,61.68399810791016,7.198999881744385,575,-9450,,,,BA,Net balance value
NO,NIGARDSBREEN,290,2006,94,20059999,20069999,61.71500015258789,7.070000171661377,1703,-680,,,,BA,Net balance value
NO,NIGARDSBREEN,290,2006,95,20059999,20069999,61.72800064086914,7.098999977111816,1681,-140,,,,BA,Net balance value
NO,NIGARDSBREEN,290,2007,1000,20069999,20079999,61.69300079345703,7.164000034332275,970,-3650,,,,BA,Net balance value
NO,NIGARDSBREEN,290,2007,54,20069999,20079999,61.70800018310547,7.109000205993652,1610,1170,,,,BA,Net balance value
NO,NIGARDSBREEN,290,2007,55,20069999,20079999,61.71699905395508,7.153999805450439,1465,900,,,,BA,Net balance value
NO,NIGARDSBREEN,290,2007,56,20069999,20079999,61.69100189208984,7.078000068664551,1800,1800,,,,BA,Net balance value
NO,NIGARDSBREEN,290,2007,57,20069999,20079999,61.67800140380859,7.038000106811523,1960,2520,,,,BA,Net balance value
NO,NIGARDSBREEN,290,2007,600,20069999,20079999,61.68299865722656,7.198999881744385,580,-7110,,,,BA,Net balance value
NO,NIGARDSBREEN,290,2007,94,20069999,20079999,61.71500015258789,7.070000171661377,1700,1560,,,,BA,Net balance value
NO,NIGARDSBREEN,290,2007,95,20069999,20079999,61.72800064086914,7.098999977111816,1680,2010,,,,BA,Net balance value
NO,NIGARDSBREEN,290,2007,96,20069999,20079999,61.74000168,7.125999927520752,1750,1890,,,,BA,Net balance value
