POLITICAL_UNIT,NAME,WGMS_ID,YEAR,POINT_ID,FROM_DATE,TO_DATE,POINT_LAT,POINT_LON,POINT_ELEVATION,POINT_BALANCE,POINT_BALANCE_UNCERTAINTY,DENSITY,DENSITY_UNCERTAINTY,BALANCE_CODE,REMARKS,RGIId,topo,aspect,slope,slope_factor,dis_from_border,t2m_oct,t2m_nov,t2m_dec,t2m_jan,t2m_feb,t2m_mar,t2m_apr,t2m_may,t2m_jun,t2m_jul,t2m_aug,t2m_sep,fal_oct,fal_nov,fal_dec,fal_jan,fal_feb,fal_mar,fal_apr,fal_may,fal_jun,fal_jul,fal_aug,fal_sep,slhf_oct,slhf_nov,slhf_dec,slhf_jan,slhf_feb,slhf_mar,slhf_apr,slhf_may,slhf_jun,slhf_jul,slhf_aug,slhf_sep,str_oct,str_nov,str_dec,str_jan,str_feb,str_mar,str_apr,str_may,str_jun,str_jul,str_aug,str_sep,sshf_oct,sshf_nov,sshf_dec,sshf_jan,sshf_feb,sshf_mar,sshf_apr,sshf_may,sshf_jun,sshf_jul,sshf_aug,sshf_sep,ssrd_oct,ssrd_nov,ssrd_dec,ssrd_jan,ssrd_feb,ssrd_mar,ssrd_apr,ssrd_may,ssrd_jun,ssrd_jul,ssrd_aug,ssrd_sep,tp_oct,tp_nov,tp_dec,tp_jan,tp_feb,tp_mar,tp_apr,tp_may,tp_jun,tp_jul,tp_aug,tp_sep,altitude_climate,height_diff
NO,JUVFONNE,3661,2011,2,20101009,20110506,61.677345,8.351158,1885,1170,150,440,60,IN,,RGI60-08.00868,1929.4664306640625,1.5833326578140259,0.48001834750175476,1.5532641410827637,147.7328643798828,269.2356172055536,258.6798779809498,256.3122154036644,261.2514884417503,259.04037740885315,262.3337048518107,271.3440361703428,273.1860302591317,278.43337950154137,279.1795127796122,276.7824070219602,274.78529764148374,0.6435964389636251,0.7771080698286288,0.7663290554370024,0.8401474241379513,0.8185638526665666,0.8384105213449877,0.7341835824231115,0.6769551896637771,0.3894083780198555,0.13759578707234482,0.1357183994946563,0.25069881012002726,-165851.31275845785,41898.023606427014,53251.766407763585,98425.16861733794,80790.63192589954,53976.4733950831,-231558.0796087468,-765183.9912715731,-1723488.197503548,-5118257.2951032305,-3417369.995864679,-1633866.1000717198,-2182556.5506691285,-1575253.301496956,-914802.3620466026,-815778.0010071262,-1604856.7381014149,-2223412.755573528,-3250530.822089634,-3274767.553812583,-1759971.8211282864,-4567797.191231898,-3726609.4809332704,-2656904.014389697,81191.10858651367,226741.0811499548,299724.59174766904,304729.17533151223,301392.78627561673,304312.1266995253,24055.446004303172,-88964.73326415708,-1119491.9029038807,-4419597.72781652,-3594675.533746357,-1668744.951230678,4521133.684494834,1969174.3366853334,653155.9978941903,1099647.7760212403,4251782.666168189,9368643.152457539,16353570.23582012,18727579.96191232,15065053.20220347,17822867.907863215,12875463.99316375,8190535.770497306,0.0034257004124046177,0.0006303344280081252,0.0016599043641514228,0.002478304967684357,0.0016737593656122839,0.0044304268976525785,0.002435784445959644,0.0041624042831855754,0.008759398216165074,0.003825106661414267,0.0037104445803588654,0.0034371666205101573,1508.985411467632,-376.01458853236795
NO,JUVFONNE,3661,2011,2,20101009,20111010,61.677345,8.351158,1885,-1880,150,900,30,IN,,RGI60-08.00868,1929.4664306640625,1.5833326578140259,0.48001834750175476,1.5532641410827637,147.7328643798828,269.2356172055536,258.6798779809498,256.3122154036644,261.2514884417503,259.04037740885315,262.3337048518107,271.3440361703428,273.1860302591317,278.43337950154137,279.1795127796122,276.7824070219602,274.78529764148374,0.6435964389636251,0.7771080698286288,0.7663290554370024,0.8401474241379513,0.8185638526665666,0.8384105213449877,0.7341835824231115,0.6769551896637771,0.3894083780198555,0.13759578707234482,0.1357183994946563,0.25069881012002726,-165851.31275845785,41898.023606427014,53251.766407763585,98425.16861733794,80790.63192589954,53976.4733950831,-231558.0796087468,-765183.9912715731,-1723488.197503548,-5118257.2951032305,-3417369.995864679,-1633866.1000717198,-2182556.5506691285,-1575253.301496956,-914802.3620466026,-815778.0010071262,-1604856.7381014149,-2223412.755573528,-3250530.822089634,-3274767.553812583,-1759971.8211282864,-4567797.191231898,-3726609.4809332704,-2656904.014389697,81191.10858651367,226741.0811499548,299724.59174766904,304729.17533151223,301392.78627561673,304312.1266995253,24055.446004303172,-88964.73326415708,-1119491.9029038807,-4419597.72781652,-3594675.533746357,-1668744.951230678,4521133.684494834,1969174.3366853334,653155.9978941903,1099647.7760212403,4251782.666168189,9368643.152457539,16353570.23582012,18727579.96191232,15065053.20220347,17822867.907863215,12875463.99316375,8190535.770497306,0.0034257004124046177,0.0006303344280081252,0.0016599043641514228,0.002478304967684357,0.0016737593656122839,0.0044304268976525785,0.002435784445959644,0.0041624042831855754,0.008759398216165074,0.003825106661414267,0.0037104445803588654,0.0034371666205101573,1508.985411467632,-376.01458853236795
NO,JUVFONNE,3661,2012,2,20111010,20120611,61.677345,8.351158,1884,1440,150,515,60,IN,,RGI60-08.00868,1929.4664306640625,1.5833326578140259,0.48001834750175476,1.5532641410827637,147.7328643798828,270.38390123985124,269.5889353699529,262.5175451975144,260.87662648683886,262.7049761749701,267.6586117400641,265.8891484126661,271.6794011759819,275.1759583761041,279.2585066781568,279.65634867628114,273.282259190086,0.7176191491696287,0.7072105037559135,0.8497259321873825,0.8377719541416924,0.8267375128687477,0.8396237990312491,0.8371206155943312,0.7679765588215044,0.5963935512960287,0.29341895602048995,0.1316954261138953,0.4514132534598395,-184210.55643721484,39723.90264446847,106155.37648207787,77650.23498084862,99149.87560465652,8803.071185509674,-169957.98568660114,-363696.32029664516,-448970.17580455635,-2553519.266979995,-3983366.1529611037,-1252670.2247417336,-1739716.8381883935,-1329423.594021333,-1008806.2572291824,-1191620.4622251387,-1060222.7523842952,-1974813.1359009966,-2820848.1925442144,-3603175.2686585383,-2679755.7900141915,-2503000.7679489725,-4204246.2153876675,-2661058.8826850597,61589.82288312749,225906.9838859809,363533.03244167054,265526.6039247401,285961.9868921001,241337.7832694978,-29743.82752201194,-71448.69072070578,-108983.0675995301,-1727965.8569728232,-2346866.0268414393,-726632.091572185,4865304.430134435,1513785.0774724167,566607.772786228,1107331.9642317593,3670615.3788778167,8620445.879327971,16755574.608517844,23353056.833686844,20632854.207162805,15151196.996352982,12884765.905208062,8339770.794164771,0.003487331280971895,0.003953145985259466,0.0047553027939762176,0.002604911015516362,0.003443855241905056,0.003147644865845267,0.0027998365533105467,0.0022838571885612363,0.003254662808163642,0.005505861666218038,0.004433293449678964,0.0030138724379472973,1508.985411467632,-375.01458853236795
NO,JUVFONNE,3661,2012,2,20111010,20120912,61.677345,8.351158,1884,70,150,600,60,IN,,RGI60-08.00868,1929.4664306640625,1.5833326578140259,0.48001834750175476,1.5532641410827637,147.7328643798828,270.38390123985124,269.5889353699529,262.5175451975144,260.87662648683886,262.7049761749701,267.6586117400641,265.8891484126661,271.6794011759819,275.1759583761041,279.2585066781568,279.65634867628114,273.282259190086,0.7176191491696287,0.7072105037559135,0.8497259321873825,0.8377719541416924,0.8267375128687477,0.8396237990312491,0.8371206155943312,0.7679765588215044,0.5963935512960287,0.29341895602048995,0.1316954261138953,0.4514132534598395,-184210.55643721484,39723.90264446847,106155.37648207787,77650.23498084862,99149.87560465652,8803.071185509674,-169957.98568660114,-363696.32029664516,-448970.17580455635,-2553519.266979995,-3983366.1529611037,-1252670.2247417336,-1739716.8381883935,-1329423.594021333,-1008806.2572291824,-1191620.4622251387,-1060222.7523842952,-1974813.1359009966,-2820848.1925442144,-3603175.2686585383,-2679755.7900141915,-2503000.7679489725,-4204246.2153876675,-2661058.8826850597,61589.82288312749,225906.9838859809,363533.03244167054,265526.6039247401,285961.9868921001,241337.7832694978,-29743.82752201194,-71448.69072070578,-108983.0675995301,-1727965.8569728232,-2346866.0268414393,-726632.091572185,4865304.430134435,1513785.0774724167,566607.772786228,1107331.9642317593,3670615.3788778167,8620445.879327971,16755574.608517844,23353056.833686844,20632854.207162805,15151196.996352982,12884765.905208062,8339770.794164771,0.003487331280971895,0.003953145985259466,0.0047553027939762176,0.002604911015516362,0.003443855241905056,0.003147644865845267,0.0027998365533105467,0.0022838571885612363,0.003254662808163642,0.005505861666218038,0.004433293449678964,0.0030138724379472973,1508.985411467632,-375.01458853236795
NO,JUVFONNE,3661,2013,2,20120912,20130525,61.677345,8.351158,1882,960,150,490,60,IN,,RGI60-08.00868,1929.4664306640625,1.5833326578140259,0.48001834750175476,1.5532641410827637,147.7328643798828,267.1063725766026,265.5580921651293,256.4235249879772,259.93516284145784,260.4802207414153,259.37933304624437,266.21733215480117,273.7942832779248,276.8262127293349,281.7460963559598,279.6441405283243,275.96158860344724,0.793761902490573,0.8418204702105853,0.7873506877694871,0.7933532194804639,0.8047580297313199,0.7599178407159164,0.7547326750251577,0.7303521792033391,0.4582842365672981,0.13796615605025614,0.1407375377125582,0.39072382645864406,-67532.73147879727,57116.87034013402,51319.214441578835,70644.7341034282,59290.99130209163,16533.279050249606,-344370.80063479487,-171165.83066546638,-1536513.7947751516,-5578687.801046801,-3815958.8388903304,-1560187.556360918,-1532839.0209817956,-922246.501075794,-942847.7230403004,-1299473.9183922606,-1597758.8380968366,-3682117.766270429,-3809014.368791296,-2155376.787236965,-2805959.9144858317,-5241058.974592953,-4245275.539804373,-3270785.8050295273,72850.13594677486,129568.74989699828,238418.44284558925,317240.63429112046,241754.83190148463,178780.48847145704,-113153.55391939939,-41004.140585659305,-904711.8574306078,-3550051.330123754,-2276801.856667633,-782099.559626448,4677244.0344559215,1495990.115300687,677421.855401095,1328960.1294614915,4332264.426899424,11392820.099491859,17530868.755863458,19380331.52884806,19811859.36151252,18439220.688538596,12566074.309950711,9249740.450673705,0.0029082877716421138,0.0036292256062779565,0.0017377790275348842,0.0013498389866307744,0.0010622282666501396,0.000589247182296606,0.002764482411651798,0.005057246274088777,0.005642500646142391,0.0026775303335181185,0.00500612609628491,0.0029751739855910994,1508.985411467632,-373.01458853236795
NO,JUVFONNE,3661,2013,2,20120912,20130911,61.677345,8.351158,1882,-1550,150,900,30,IN,,RGI60-08.00868,1929.4664306640625,1.5833326578140259,0.48001834750175476,1.5532641410827637,147.7328643798828,267.1063725766026,265.5580921651293,256.4235249879772,259.93516284145784,260.4802207414153,259.37933304624437,266.21733215480117,273.7942832779248,276.8262127293349,281.7460963559598,279.6441405283243,275.96158860344724,0.793761902490573,0.8418204702105853,0.7873506877694871,0.7933532194804639,0.8047580297313199,0.7599178407159164,0.7547326750251577,0.7303521792033391,0.4582842365672981,0.13796615605025614,0.1407375377125582,0.39072382645864406,-67532.73147879727,57116.87034013402,51319.214441578835,70644.7341034282,59290.99130209163,16533.279050249606,-344370.80063479487,-171165.83066546638,-1536513.7947751516,-5578687.801046801,-3815958.8388903304,-1560187.556360918,-1532839.0209817956,-922246.501075794,-942847.7230403004,-1299473.9183922606,-1597758.8380968366,-3682117.766270429,-3809014.368791296,-2155376.787236965,-2805959.9144858317,-5241058.974592953,-4245275.539804373,-3270785.8050295273,72850.13594677486,129568.74989699828,238418.44284558925,317240.63429112046,241754.83190148463,178780.48847145704,-113153.55391939939,-41004.140585659305,-904711.8574306078,-3550051.330123754,-2276801.856667633,-782099.559626448,4677244.0344559215,1495990.115300687,677421.855401095,1328960.1294614915,4332264.426899424,11392820.099491859,17530868.755863458,19380331.52884806,19811859.36151252,18439220.688538596,12566074.309950711,9249740.450673705,0.0029082877716421138,0.0036292256062779565,0.0017377790275348842,0.0013498389866307744,0.0010622282666501396,0.000589247182296606,0.002764482411651798,0.005057246274088777,0.005642500646142391,0.0026775303335181185,0.00500612609628491,0.0029751739855910994,1508.985411467632,-373.01458853236795
NO,JUVFONNE,3661,2014,2,20130911,20140512,61.677345,8.351158,1882,1210,150,463,60,IN,,RGI60-08.00868,1929.4664306640625,1.5833326578140259,0.48001834750175476,1.5532641410827637,147.7328643798828,271.7476231792704,264.94768476728507,264.36384804440576,259.26227845112834,263.93656286591477,266.21661402845075,269.73040626098265,272.9224778885331,277.2499072760739,284.3780294301943,279.4775352150303,277.7152531511363,0.4272115564549436,0.816277782078769,0.8545407289002298,0.8288830986718203,0.8382700365602629,0.8448217360660737,0.8076315821461493,0.6603268996899647,0.34172017927775455,0.1375574730401471,0.1372381894384994,0.20419834637605574,-268759.70495780744,45763.127538796514,132727.96601712052,60498.836280957796,91178.09874414373,63156.09523446206,-102077.09787435364,-359348.0783727281,-2656186.090183572,-6235513.900553919,-3955827.2874429678,-2225951.708711642,-2526891.2606473076,-1073552.9548319168,-888488.1961759725,-1096231.6109441048,-994610.4572200268,-2256478.5824241224,-3318913.029450811,-3269920.2074679933,-4155772.75194177,-5413486.008850503,-3967938.081088917,-4107299.288495872,-209491.78790838225,244257.12369340635,362281.8865457097,216314.86535028135,199215.8714388169,279289.20878030907,55751.14203531039,-106480.77580760838,-2340610.2973616347,-2914886.263607648,-2463222.5951657947,-1228341.5958524712,4525986.855996214,1635923.2269238383,528591.2626920771,1197924.498924205,3730066.729769733,9550232.652800879,16971136.30937085,20933346.409289975,21923797.826530144,18706549.552073,12468606.448964642,9247313.864923015,0.003138567451095047,0.0033999014441671513,0.004977938334692124,0.0019948131925674115,0.0032904947084934546,0.003769208896899759,0.002011056987383592,0.0015251764189113254,0.002695207404347493,0.0059463551609392085,0.00480928952380647,0.0021261968271100596,1508.985411467632,-373.01458853236795
NO,JUVFONNE,3661,2014,2,20130911,20140909,61.677345,8.351158,1882,-2300,150,900,30,IN,,RGI60-08.00868,1929.4664306640625,1.5833326578140259,0.48001834750175476,1.5532641410827637,147.7328643798828,271.7476231792704,264.94768476728507,264.36384804440576,259.26227845112834,263.93656286591477,266.21661402845075,269.73040626098265,272.9224778885331,277.2499072760739,284.3780294301943,279.4775352150303,277.7152531511363,0.4272115564549436,0.816277782078769,0.8545407289002298,0.8288830986718203,0.8382700365602629,0.8448217360660737,0.8076315821461493,0.6603268996899647,0.34172017927775455,0.1375574730401471,0.1372381894384994,0.20419834637605574,-268759.70495780744,45763.127538796514,132727.96601712052,60498.836280957796,91178.09874414373,63156.09523446206,-102077.09787435364,-359348.0783727281,-2656186.090183572,-6235513.900553919,-3955827.2874429678,-2225951.708711642,-2526891.2606473076,-1073552.9548319168,-888488.1961759725,-1096231.6109441048,-994610.4572200268,-2256478.5824241224,-3318913.029450811,-3269920.2074679933,-4155772.75194177,-5413486.008850503,-3967938.081088917,-4107299.288495872,-209491.78790838225,244257.12369340635,362281.8865457097,216314.86535028135,199215.8714388169,279289.20878030907,55751.14203531039,-106480.77580760838,-2340610.2973616347,-2914886.263607648,-2463222.5951657947,-1228341.5958524712,4525986.855996214,1635923.2269238383,528591.2626920771,1197924.498924205,3730066.729769733,9550232.652800879,16971136.30937085,20933346.409289975,21923797.826530144,18706549.552073,12468606.448964642,9247313.864923015,0.003138567451095047,0.0033999014441671513,0.004977938334692124,0.0019948131925674115,0.0032904947084934546,0.003769208896899759,0.002011056987383592,0.0015251764189113254,0.002695207404347493,0.0059463551609392085,0.00480928952380647,0.0021261968271100596,1508.985411467632,-373.01458853236795
NO,JUVFONNE,3661,2015,2,20140909,20150513,61.677345,8.351158,1880,1460,150,451,60,IN,,RGI60-08.00868,1929.4664306640625,1.5833326578140259,0.48001834750175476,1.5532641410827637,147.7328643798828,271.7756301069362,267.16669519003665,262.37176554838214,262.55273338868426,263.9128646963514,265.6507304643316,267.5781815888187,270.43488821073,274.6632161619149,278.97197426434514,280.5109190332632,276.753681967944,0.6372873949950665,0.791807886848489,0.8378485822060878,0.8464564681065099,0.8370439875299356,0.8413734731682785,0.8232509359387549,0.7507097016443967,0.6271724904948672,0.34474698782137475,0.1300096086971954,0.14818323130298267,-256198.11717760563,9044.640181282535,94560.06468496751,93593.78870187514,106880.08346939646,71611.01008652057,-114880.25465032924,-781852.2519799192,-554535.8269574111,-1988730.9548624363,-4560474.483863092,-2100335.830909618,-1542360.594158668,-955312.3279263885,-819067.2717409553,-996861.0108800149,-1332020.3867059345,-2234492.4043611614,-3363577.8636259595,-3530118.8344650785,-2577615.277753193,-1995414.357865503,-5350989.864907756,-2890788.475516152,-80623.76062441827,64509.16330703604,263858.4093967924,263858.4093967924,311401.95344330324,225072.88662200724,138743.819800711,-379647.62975905277,-185720.01588512678,-1205820.969725177,-2758075.9779805597,-1339693.5805929836,4009932.953016037,1326937.9746692497,546386.2248638086,1104905.3784810696,3804077.595165793,9508980.69503914,17612968.240428485,21529477.64204294,21256082.31413181,14723309.04231456,15590409.01722796,7686210.365312132,0.005183374563249719,0.002054533026450433,0.002605388774187428,0.003925435982337744,0.002694251887005363,0.0034835092116033816,0.0018811066288541376,0.0032723398789930164,0.0028433125923773873,0.005483884767349085,0.003396079374798638,0.003524118698643837,1508.985411467632,-371.01458853236795
NO,JUVFONNE,3661,2015,2,20140909,20150911,61.677345,8.351158,1880,570,150,598,60,IN,,RGI60-08.00868,1929.4664306640625,1.5833326578140259,0.48001834750175476,1.5532641410827637,147.7328643798828,271.7756301069362,267.16669519003665,262.37176554838214,262.55273338868426,263.9128646963514,265.6507304643316,267.5781815888187,270.43488821073,274.6632161619149,278.97197426434514,280.5109190332632,276.753681967944,0.6372873949950665,0.791807886848489,0.8378485822060878,0.8464564681065099,0.8370439875299356,0.8413734731682785,0.8232509359387549,0.7507097016443967,0.6271724904948672,0.34474698782137475,0.1300096086971954,0.14818323130298267,-256198.11717760563,9044.640181282535,94560.06468496751,93593.78870187514,106880.08346939646,71611.01008652057,-114880.25465032924,-781852.2519799192,-554535.8269574111,-1988730.9548624363,-4560474.483863092,-2100335.830909618,-1542360.594158668,-955312.3279263885,-819067.2717409553,-996861.0108800149,-1332020.3867059345,-2234492.4043611614,-3363577.8636259595,-3530118.8344650785,-2577615.277753193,-1995414.357865503,-5350989.864907756,-2890788.475516152,-80623.76062441827,64509.16330703604,263858.4093967924,263858.4093967924,311401.95344330324,225072.88662200724,138743.819800711,-379647.62975905277,-185720.01588512678,-1205820.969725177,-2758075.9779805597,-1339693.5805929836,4009932.953016037,1326937.9746692497,546386.2248638086,1104905.3784810696,3804077.595165793,9508980.69503914,17612968.240428485,21529477.64204294,21256082.31413181,14723309.04231456,15590409.01722796,7686210.365312132,0.005183374563249719,0.002054533026450433,0.002605388774187428,0.003925435982337744,0.002694251887005363,0.0034835092116033816,0.0018811066288541376,0.0032723398789930164,0.0028433125923773873,0.005483884767349085,0.003396079374798638,0.003524118698643837,1508.985411467632,-371.01458853236795
