MONTH,ID,YEAR,N_MONTHS,POINT_BALANCE,aspect,slope,t2m,tp,slhf,sshf,ssrd,fal,srt
nov,0,2011,7,1170,1.583332657814026,0.4800183475017547,258.6798779809498,0.7771080698286288,41898.02360642701,-1575253.301496956,226741.0811499548,1969174.3366853332,0.0006303344280081
dec,0,2011,7,1170,1.583332657814026,0.4800183475017547,256.3122154036644,0.7663290554370024,53251.76640776359,-914802.3620466026,299724.59174766904,653155.9978941903,0.0016599043641514
jan,0,2011,7,1170,1.583332657814026,0.4800183475017547,261.2514884417503,0.8401474241379513,98425.16861733794,-815778.0010071262,304729.17533151223,1099647.7760212405,0.0024783049676843
feb,0,2011,7,1170,1.583332657814026,0.4800183475017547,259.04037740885315,0.8185638526665666,80790.63192589954,-1604856.7381014149,301392.7862756168,4251782.666168189,0.0016737593656122
mar,0,2011,7,1170,1.583332657814026,0.4800183475017547,262.3337048518107,0.8384105213449877,53976.4733950831,-2223412.755573528,304312.1266995253,9368643.15245754,0.0044304268976525
apr,0,2011,7,1170,1.583332657814026,0.4800183475017547,271.3440361703428,0.7341835824231115,-231558.0796087468,-3250530.822089634,24055.44600430317,16353570.23582012,0.0024357844459596
may,0,2011,7,1170,1.583332657814026,0.4800183475017547,273.1860302591317,0.6769551896637771,-765183.9912715731,-3274767.553812583,-88964.73326415708,18727579.96191232,0.0041624042831855
nov,1,2011,12,-1880,1.583332657814026,0.4800183475017547,269.2356172055536,0.6435964389636251,-165851.31275845785,-2182556.5506691285,81191.10858651367,4521133.684494834,0.0034257004124046
dec,1,2011,12,-1880,1.583332657814026,0.4800183475017547,258.6798779809498,0.7771080698286288,41898.02360642701,-1575253.301496956,226741.0811499548,1969174.3366853332,0.0006303344280081
jan,1,2011,12,-1880,1.583332657814026,0.4800183475017547,256.3122154036644,0.7663290554370024,53251.76640776359,-914802.3620466026,299724.59174766904,653155.9978941903,0.0016599043641514
feb,1,2011,12,-1880,1.583332657814026,0.4800183475017547,261.2514884417503,0.8401474241379513,98425.16861733794,-815778.0010071262,304729.17533151223,1099647.7760212405,0.0024783049676843
mar,1,2011,12,-1880,1.583332657814026,0.4800183475017547,259.04037740885315,0.8185638526665666,80790.63192589954,-1604856.7381014149,301392.7862756168,4251782.666168189,0.0016737593656122
apr,1,2011,12,-1880,1.583332657814026,0.4800183475017547,262.3337048518107,0.8384105213449877,53976.4733950831,-2223412.755573528,304312.1266995253,9368643.15245754,0.0044304268976525
may,1,2011,12,-1880,1.583332657814026,0.4800183475017547,271.3440361703428,0.7341835824231115,-231558.0796087468,-3250530.822089634,24055.44600430317,16353570.23582012,0.0024357844459596
jun,1,2011,12,-1880,1.583332657814026,0.4800183475017547,273.1860302591317,0.6769551896637771,-765183.9912715731,-3274767.553812583,-88964.73326415708,18727579.96191232,0.0041624042831855
jul,1,2011,12,-1880,1.583332657814026,0.4800183475017547,278.43337950154137,0.3894083780198555,-1723488.197503548,-1759971.8211282864,-1119491.9029038807,15065053.20220347,0.008759398216165
aug,1,2011,12,-1880,1.583332657814026,0.4800183475017547,279.1795127796122,0.1375957870723448,-5118257.295103231,-4567797.191231898,-4419597.72781652,17822867.907863215,0.0038251066614142
sep,1,2011,12,-1880,1.583332657814026,0.4800183475017547,276.7824070219602,0.1357183994946563,-3417369.995864679,-3726609.4809332704,-3594675.533746357,12875463.99316375,0.0037104445803588
oct,1,2011,12,-1880,1.583332657814026,0.4800183475017547,274.78529764148374,0.2506988101200272,-1633866.1000717198,-2656904.014389697,-1668744.951230678,8190535.770497306,0.0034371666205101
nov,2,2012,8,1440,1.583332657814026,0.4800183475017547,269.5889353699529,0.7072105037559135,39723.90264446847,-1329423.594021333,225906.9838859809,1513785.0774724167,0.0039531459852594
dec,2,2012,8,1440,1.583332657814026,0.4800183475017547,262.5175451975144,0.8497259321873825,106155.37648207787,-1008806.2572291824,363533.03244167054,566607.772786228,0.0047553027939762
jan,2,2012,8,1440,1.583332657814026,0.4800183475017547,260.87662648683886,0.8377719541416924,77650.23498084862,-1191620.462225139,265526.6039247401,1107331.9642317593,0.0026049110155163
