country;glacier_name;glacier_id;year;id;original_id;time_system;begin_date;begin_date_unc;end_date_day_of_year;end_date;end_date_unc;epsg;easting;northing;latitude;longitude;elevation;balance_m;balance;balance_unc;density;density_unc;method;balance_code;remarks;source
US;EKLUTNA;;2008;;A;;nan;;131.62;10.05.2008;;32606;393597.3;6792606.8;61.253213;-148.983312;964.4;0.2;0.07;;350;;;winter;;https://doi.org/10.5066/F7MP51CB
US;EKLUTNA;;2008;;A;;10.05.2008;;264.57;20.09.2008;;32606;393620.5;6792645.2;61.253564;-148.982901;949.6;-5.2;-4.57;;879;;;summer;;https://doi.org/10.5066/F7MP51CB
US;EKLUTNA;;2008;;A;;nan;;nan;20.09.2008;;32606;nan;nan;61.253564;-148.982901;949.6;nan;-4.50;;nan;;;annual;Calculated from summer and winter, position and elevation from summer ;https://doi.org/10.5066/F7MP51CB
US;EKLUTNA;;2008;;B;;nan;;134.58;13.05.2008;;32606;393679.4;6790773.4;61.236786;-148.980747;1222.5;3.26;1.41;;433;;;winter;;https://doi.org/10.5066/F7MP51CB
US;EKLUTNA;;2008;;B;;13.05.2008;;257.46;13.09.2008;;32606;393679.2;6790787.2;61.23691;-148.980758;1219.5;-4.27;-2.32;;543;;;summer;;https://doi.org/10.5066/F7MP51CB
US;EKLUTNA;;2008;;B;;nan;;nan;13.09.2008;;32606;nan;nan;61.23691;-148.980758;1219.5;nan;-0.91;;nan;;;annual;Calculated from summer and winter, position and elevation from summer ;https://doi.org/10.5066/F7MP51CB
US;EKLUTNA;;2008;;C;;nan;;129.74;08.05.2008;;32606;394728.6;6786974.5;61.202985;-148.959094;1438.5;4.66;1.83;;393;;;winter;;https://doi.org/10.5066/F7MP51CB
US;EKLUTNA;;2008;;C;;08.05.2008;;271.58;27.09.2008;;32606;394727.9;6786983.1;61.203062;-148.959111;1434.8;-3.05;-1.12;;366;;;summer;;https://doi.org/10.5066/F7MP51CB
US;EKLUTNA;;2008;;C;;nan;;nan;27.09.2008;;32606;nan;nan;61.203062;-148.959111;1434.8;nan;0.72;;nan;;;annual;Calculated from summer and winter, position and elevation from summer ;https://doi.org/10.5066/F7MP51CB
US;EKLUTNA;;2009;;Abl;;nan;;129.66;09.05.2009;;32606;393294.5;6791634.3;61.244405;-148.9884;1136.5;1.25;0.60;;483;;;winter;;https://doi.org/10.5066/F7MP51CB
