YEAR,POINT_ID,GLACIER,FROM_DATE,TO_DATE,POINT_LAT,POINT_LON,POINT_ELEVATION,POINT_BALANCE,PERIOD,RGIId,aspect,slope
2003,01,oberaar,2002-10-06,2003-10-11,46.53880619383016,8.233237450815484,2389.8126329200004,-6174,annual,RGI60-11.01509,1.7675157,0.3705545
2003,02,oberaar,2002-10-06,2003-10-11,46.53661087963497,8.225513892088092,2499.82572692,-5310,annual,RGI60-11.01509,1.7675157,0.3705545
2003,03,oberaar,2002-10-06,2003-10-11,46.53213553284363,8.20773419183833,2679.8544193600005,-4320,annual,RGI60-11.01509,1.7675157,0.3705545
2014,02,oberaar,2013-09-28,2014-09-26,46.53657507942052,8.225487299551538,2443.82584268,-3960,annual,RGI60-11.01509,1.7675157,0.3705545
2015,02,oberaar,2014-09-26,2015-09-26,46.53654782342596,8.225526011984698,2457.8258728,-4527,annual,RGI60-11.01509,1.7675157,0.3705545
2016,02,oberaar,2015-09-26,2016-09-10,46.53654782342596,8.225526011984698,2434.8258728,-3609,annual,RGI60-11.01509,1.7675157,0.3705545
2017,02,oberaar,2016-09-10,2017-10-10,46.53654782342596,8.225526011984698,2434.8258728,-5463,annual,RGI60-11.01509,1.7675157,0.3705545
2018,02,oberaar,2017-10-10,2018-10-09,46.53629201233559,8.224792273444248,2440.82723496,-4518,annual,RGI60-11.01509,1.7675157,0.3705545
2021,OA2,oberaar,2020-09-04,2021-10-02,46.53650374949761,8.225395010073932,2434.826112,-3672,annual,RGI60-11.01509,1.7675157,0.3705545
2021,OA2.5,oberaar,2020-09-04,2021-10-02,46.53458855007948,8.216098818645198,2500.8400514000004,-2916,annual,RGI60-11.01509,1.7675157,0.3705545
2021,OA11,oberaar,2020-09-04,2021-10-02,46.5279965409008,8.18490492803434,3020.88723084,380,annual,RGI60-11.01509,1.7675157,0.3705545
2021,OA12,oberaar,2020-09-04,2021-10-02,46.52659886818559,8.179906799417875,3136.8956438,850,annual,RGI60-11.01509,1.7675157,0.3705545
2022,OA2,oberaar,2021-10-02,2022-10-01,46.53650374949761,8.225395010073932,2415.826112,-7119,annual,RGI60-11.01509,1.7675157,0.3705545
