RGIId,Area,Lmax,Zmin,Zmed,Zmax,Aspect,Slope,CenLon,CenLat,avg_c_prec
RGI60-11.A54e-12,5.561256,4.234,2032,2932,3494,342,20.13,8.433801355219575,46.69744351599913,1.7666666666666668
RGI60-11.A54j-02,5.385316,4.786,2027,3011,3693,24,19.58,8.148944381217907,46.6427868962494,1.5625000000000004
RGI60-11.B84-04,1.660765,2.511,2685,3245,3634,323,22.1,7.259818146789033,45.97010085444932,1.7000000000000004
RGI60-11.E25-04,1.833318,2.168,2714,2992,3255,308,16.87,9.819127694954501,46.35888783084826,2.2
RGI60-11.A54e-24,14.558734,5.428,1680,2936,3386,352,19.97,8.374724243429876,46.65881168738328,1.8000000000000003
RGI60-11.B45-04,4.595726,5.36,2426,2954,3332,34,13.18,8.329062703801227,46.43710539035245,1.5333333333333339
RGI60-11.A54l-04,8.32799,4.481,1448,3044,3737,278,23.43,8.120477346163803,46.61395350335345,1.1
RGI60-11.A54i-05,10.828638,5.698,2244,2953,3621,74,21.42,8.170805213646418,46.61014946426417,1.3250000000000002
RGI60-11.B43-03,14.637407,9.718,2209,2960,3621,206,14.91,8.39808152799102,46.62395118430674,1.614285714285715
RGI60-11.B40-07,29.752599,15.002,1678,3138,4159,131,18.23,8.121717987174664,46.51700365046652,1.3000000000000005
RGI60-11.A55f-03,7.319261,4.687,2477,2722,2957,318,5.99,7.513286166266799,46.383329409674175,1.7714285714285718
RGI60-11.B72-11,9.073334,6.02,2137,3281,3649,334,17.89,7.580933516116453,46.01058860293988,2.5
RGI60-11.B72-15,10.050849,5.311,2063,3229,3704,342,16.43,7.548451627343534,46.00559592669361,2.266666666666667
RGI60-11.B47-04,1.561715,1.913,2662,2970,3294,308,20.61,8.085655818801676,46.249492187934095,1.6000000000000005
RGI60-11.C05-02,2.092124,1.694,2797,3211,3420,163,18.92,8.098622148515105,46.24157676622153,1.4000000000000004
RGI60-11.B56-14,2.097688,3.489,2980,3430,4175,266,21.24,7.877794534341596,46.01242557291166,1.4142857142857146
RGI60-11.B54-03,7.23133,5.302,2365,3474,4280,331,19.17,7.860109233169516,46.12839135341354,1.8666666666666671
RGI60-11.B90-04,1.480683,1.34,2643,3014,3395,347,25.31,7.003568500169416,46.0040694510342,1.6500000000000004
RGI60-11.B90-02,5.757593,4.249,2087,3134,3482,14,16.4,7.026513412092387,45.99629755192752,1.4000000000000004
RGI60-11.A50i-19,4.706779,3.987,2464,2870,3256,93,13.19,8.89388764510031,46.84241273216955,1.9833333333333336
RGI60-11.B85-16,6.687972,6.528,1851,3031,3880,48,20.17,7.040125047178084,45.969145988780184,1.6000000000000003
RGI60-11.B31-04,8.005464,4.77,2103,3005,3894,192,20.84,7.932021495997011,46.474085734100136,1.2500000000000002
RGI60-11.A54m-05,1.585245,1.746,2446,2821,3552,337,25.83,7.972008079514701,46.55388697793611,1.8142857142857145
RGI60-11.B36-21,6.609896,6.01,2355,3153,4085,106,24.34,8.015414638650084,46.459365606870875,1.1500000000000001
RGI60-11.B36-26,78.48888,23.543,1605,3148,4120,142,15.68,8.019691678542657,46.50348390481159,1.583333333333334
RGI60-11.A54m-21,5.051716,4.102,2286,2681,3437,25,16.07,7.835440145441058,46.49351567268893,1.8666666666666671
RGI60-11.B56-03,13.864216,7.479,2554,3323,3914,311,14.02,7.873635856302469,45.99362350229808,1.4000000000000004
RGI60-11.A13n-06,1.876866,2.032,2554,2883,3162,356,18.21,9.060167076789071,46.4839262213319,2.06
RGI60-11.C84-20,1.249523,1.847,2563,2981,3294,302,23.76,9.668934294324156,46.309198222959644,2.3
RGI60-11.C14-10,1.641184,1.255,2588,2908,3181,35,19.02,8.480807769111504,46.414946528703034,1.4833333333333336
RGI60-11.A51d-10,12.63194,6.524,1834,2772,3241,227,13.9,8.854535211887365,46.81935184316319,2.0333333333333337
RGI60-11.A51d-15,2.192056,3.148,2563,2709,3284,56,16.16,8.78856237592481,46.737087746991214,2.028571428571429
RGI60-11.B53-07,1.658384,2.619,2671,3575,4282,75,27.22,7.881516521215689,46.112907368910996,1.7000000000000002
RGI60-11.B22-01,2.442977,3.323,2504,2771,2964,76,8.55,7.224129702001593,46.32058350548838,1.4375000000000004
RGI60-11.B64-02,5.001394,5.032,2388,3192,3656,348,18.95,7.596771507510632,46.075785277816685,2.4499999999999997
RGI60-11.B30-06,5.128259,2.133,2729,3070,3329,152,17.09,7.832189206841307,46.46563225238011,1.475
RGI60-11.C93-04,5.367639,2.6,2593,3196,3845,81,22.48,9.977952751101158,46.36803066985519,1.8500000000000003
RGI60-11.C93-09,1.286614,2.099,2496,2998,3332,37,22.54,9.99272239869478,46.39239955453421,2.0500000000000007
RGI60-11.B57-10,2.186901,2.556,2895,3322,3671,193,18.69,7.64236808671988,46.022766582031664,1.4400000000000006
RGI60-11.E26-01,1.895808,2.303,2589,2951,3338,326,18.83,9.772169052121438,46.342837517723204,2.2750000000000004
RGI60-11.A54l-19,9.167101,5.713,1357,2730,4105,37,23.33,8.040937033831684,46.56991429856802,1.8125000000000004
RGI60-11.A51f-10,3.774095,1.907,2061,2900,3465,78,26.12,8.435109022140365,46.633379396218665,1.5750000000000006
RGI60-11.A51f-15,1.765154,3.155,2308,2795,3325,112,22.85,8.40941685953946,46.68099628719977,1.8250000000000002
RGI60-11.B55-08,1.171482,2.96,3034,3616,4461,286,26.0,7.842098512784648,46.0894287191966,2.0
RGI60-11.E23-06,5.629449,4.315,2306,3099,3993,330,25.2,9.885902217877632,46.388435374064144,2.55
RGI60-11.A54l-31,7.337026,6.156,1663,2972,3889,0,23.28,8.10006732126228,46.56291138208506,1.4333333333333336
RGI60-11.B55-18,3.079168,3.196,2998,3491,4074,293,17.55,7.876011567707416,46.038742588826665,1.6333333333333337
RGI60-11.E23-11,6.583795,3.338,2443,3143,3532,353,22.62,9.848909561869247,46.37106893242068,2.1
RGI60-11.B82-14,5.113382,4.465,2738,3229,3816,327,11.7,7.389837374070416,45.99160439405547,2.0800000000000005
RGI60-11.B73-14,5.067754,4.064,2184,3102,3666,352,16.84,7.489343889665692,45.97352172258113,2.1666666666666674
RGI60-11.A55b-13,11.968644,6.857,2314,2802,3227,283,12.8,7.803461189549291,46.47537458033941,1.9555555555555562
RGI60-11.B52-29,9.086454,6.811,2682,3320,4182,27,17.58,7.90962491102622,46.03376583416618,1.466666666666667
RGI60-11.A54g-03,3.951592,4.741,2331,2889,3369,59,20.53,8.196999554938975,46.53119590230326,1.2800000000000002
RGI60-11.E50-07,1.869453,2.175,2644,2885,3118,174,15.27,10.093244354836349,46.83937364597086,3.0
RGI60-11.A10g-05,2.665486,3.247,2469,2781,3103,296,13.48,10.077207396855052,46.852339315581155,3.0375000000000005
