lr,batch_size,optimizer,module__layer0,module__layer1,module__layer2,module__layer3,module__dropout,valid_loss,status,error
0.01,256,<class 'torch.optim.sgd.SGD'>,128,64,32,16,0.3,0.5204787041826983,success,
0.01,256,<class 'torch.optim.adam.Adam'>,128,128,64,16,0.3,0.39174620118435505,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,128,256,64,16,0.4,0.6900028338607191,success,
0.01,512,<class 'torch.optim.sgd.SGD'>,128,256,32,16,0.3,0.5935783143774763,success,
0.001,128,<class 'torch.optim.adam.Adam'>,32,64,64,32,0,0.3357275953270678,success,
0.0001,512,<class 'torch.optim.sgd.SGD'>,128,128,32,16,0.3,3.059087138637649,success,
0.001,512,<class 'torch.optim.sgd.SGD'>,128,128,64,32,0.2,0.8747880698637435,success,
0.01,512,<class 'torch.optim.adam.Adam'>,64,64,64,16,0.4,0.3999291104948425,success,
0.01,256,<class 'torch.optim.adam.Adam'>,32,64,64,16,0.4,0.5385108442860943,success,
0.0001,128,<class 'torch.optim.adam.Adam'>,32,128,32,16,0.4,0.7090840820967836,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,64,128,64,32,0.4,0.4699585629718696,success,
0.001,256,<class 'torch.optim.sgd.SGD'>,32,128,32,16,0.3,0.926723408249565,success,
0.001,256,<class 'torch.optim.adam.Adam'>,32,128,64,16,0.4,0.6638354407965704,success,
0.01,512,<class 'torch.optim.adam.Adam'>,64,256,64,32,0.4,0.48436977963851213,success,
0.01,128,<class 'torch.optim.sgd.SGD'>,32,256,32,32,0,0.4695112030548176,success,
0.001,512,<class 'torch.optim.adam.Adam'>,128,64,64,16,0.4,0.3861369762518293,success,
0.001,1024,<class 'torch.optim.adam.Adam'>,128,128,64,32,0.3,0.3326821751725449,success,
0.001,128,<class 'torch.optim.sgd.SGD'>,64,256,64,16,0,0.4622954924420308,success,
0.001,512,<class 'torch.optim.sgd.SGD'>,64,64,32,32,0,0.7607773081449345,success,
0.0001,128,<class 'torch.optim.adam.Adam'>,32,256,32,16,0.3,1.25885452889527,success,
0.0001,128,<class 'torch.optim.sgd.SGD'>,64,256,64,16,0.2,1.0604772948842178,success,
0.0001,512,<class 'torch.optim.adam.Adam'>,64,64,64,32,0.4,0.5835729566534507,success,
0.0001,1024,<class 'torch.optim.sgd.SGD'>,64,256,64,32,0.4,3.0721377518065403,success,
0.01,512,<class 'torch.optim.adam.Adam'>,64,128,64,16,0.4,0.48849892792148136,success,
0.0001,128,<class 'torch.optim.adam.Adam'>,128,64,64,16,0.4,0.41211878734377777,success,
0.0001,128,<class 'torch.optim.adam.Adam'>,32,64,32,32,0.4,0.5806517799825338,success,
0.001,128,<class 'torch.optim.sgd.SGD'>,64,64,64,16,0.2,0.4863315439197214,success,
0.0001,512,<class 'torch.optim.sgd.SGD'>,128,64,64,16,0.4,3.071291397141011,success,
0.001,128,<class 'torch.optim.adam.Adam'>,64,64,32,32,0.2,0.3174466931911804,success,
0.001,256,<class 'torch.optim.adam.Adam'>,32,256,32,16,0,0.32550706457642486,success,
