lr,batch_size,optimizer,optimizer__weight_decay,module__hidden_layers,module__dropout,module__use_batchnorm,valid_loss,test_loss,test_loss_a,test_loss_w,status,error
0.0001,256,<class 'torch.optim.radam.RAdam'>,0.0001,"[128, 128, 64, 64, 32]",0.4,True,0.7808659040915829,0.6848941966492689,1.3045786895178093,0.44193203633731487,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 128, 64, 32]",0.4,True,0.30771057414803155,0.5135923250505348,0.7941174441069565,0.4269804027133711,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,0.0001,"[128, 64, 32]",0.4,False,0.3215044372484597,0.5598622847641876,0.8024984624836764,0.48993801805381487,success,
0.001,128,<class 'torch.optim.radam.RAdam'>,0.0001,"[64, 32, 32]",0.3,False,0.3342402317703584,0.5396905008693473,0.814399515967243,0.4567938673138132,success,
0.0001,128,<class 'torch.optim.adamw.AdamW'>,1e-05,"[64, 32, 32]",0.4,True,0.6622338598537171,0.6582267283698489,1.1691724682303273,0.4753069228605744,success,
0.001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 128, 64, 32]",0.0,True,0.23552062621535938,0.593287177797829,0.8666767811840932,0.513179781475036,success,
0.0001,512,<class 'torch.optim.radam.RAdam'>,0.0001,"[256, 128, 64]",0.3,True,0.5487500936197692,0.6036814951048542,0.9600274607586783,0.49060171059167473,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,0.0,"[128, 128, 64, 64, 32]",0.2,False,0.2912531847239831,0.5588654851753053,0.8167429810123076,0.483274658429412,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 128, 64, 32]",0.3,False,0.3203317522243088,0.5980930137955366,0.8241696403906145,0.5350806249711679,success,
0.0001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 64, 32]",0.4,True,1.2163866851850862,0.8269371699084803,1.4966227470363285,0.5816136157865252,success,
0.001,256,<class 'torch.optim.adam.Adam'>,0.0,"[256, 128, 64, 32]",0.3,False,0.2914404855875546,0.5446516901870614,0.8037694563823397,0.46803286363717767,success,
0.0001,128,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 128, 64, 32]",0.2,True,0.38602115490934696,0.5685616457781014,0.8968176031396299,0.4652344342785286,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 128, 64, 32]",0.2,True,0.27526909731613997,0.5252626682344855,0.8118964681485479,0.4367923646062286,success,
0.001,256,<class 'torch.optim.radam.RAdam'>,0.0,"[256, 256, 128, 64, 32]",0.3,True,0.27252890807398217,0.5285681943605199,0.8199548214861749,0.43831996862694733,success,
0.0001,512,<class 'torch.optim.radam.RAdam'>,0.0001,"[128, 128, 64, 64, 32]",0.0,True,0.2683062134638647,0.8516348852325717,0.9377022963270125,0.831313795693276,success,
0.0005,256,<class 'torch.optim.radam.RAdam'>,0.0001,"[128, 128, 64, 64, 32]",0.0,True,0.21690997297995168,0.6160577915476829,0.909633207132777,0.5292084034506476,success,
0.001,512,<class 'torch.optim.adamw.AdamW'>,0.0,"[256, 128, 64]",0.2,False,0.28816090773388287,0.5493629781293515,0.804697724543053,0.47436483954549635,success,
0.0005,128,<class 'torch.optim.radam.RAdam'>,0.0001,"[128, 128, 64, 32]",0.2,True,0.3064499477484945,0.5493956878079116,0.8089932386517174,0.47278602462827907,success,
0.0001,256,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 128, 64, 32]",0.0,False,0.3652244313240716,0.5963406395379633,0.8684074741747281,0.5168421249275178,success,
0.001,256,<class 'torch.optim.adamw.AdamW'>,0.0,"[128, 128, 64, 64, 32]",0.4,True,0.4382420588877919,0.542079602771923,0.9056841095658933,0.42065480548088485,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 256, 128, 64, 32]",0.4,True,0.34487516074779334,0.5397946059949472,0.84147292267436,0.4459177265752045,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 128, 64, 32]",0.4,False,0.33299491734015585,0.5801521306762223,0.8330171555090357,0.5071708782742442,success,
0.001,256,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 128, 64, 64, 32]",0.0,False,0.2973842656642278,0.5612280747124316,0.8142060486208845,0.4875522675648759,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 256, 128, 64, 32]",0.4,False,0.48005562311557354,0.6402281598041427,0.9366936153492095,0.5532399563300212,success,
0.0001,512,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 128, 64, 32]",0.3,False,0.5138443425413514,0.6210389426891094,0.9242408997787669,0.5307006723569571,success,
0.0001,512,<class 'torch.optim.radam.RAdam'>,0.0001,"[64, 32, 32]",0.4,False,0.5298553311156023,0.6144199234864935,0.9592704416640672,0.5069496546345065,success,
0.001,256,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 256, 128, 64, 32]",0.3,False,0.2896769646387914,0.5687232838954037,0.8126497114015603,0.49861753471773784,success,
0.0005,128,<class 'torch.optim.adamw.AdamW'>,1e-05,"[64, 32, 32]",0.3,False,0.36729038841533107,0.5631384367061647,0.837658066157648,0.4813827162964984,success,
0.0005,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 256, 128, 64, 32]",0.0,True,0.2260414933302776,0.6787479511484896,0.859751947238265,0.6315523265206621,success,
0.001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[64, 32, 32]",0.0,False,0.39587722707975365,0.558618519914548,0.8414042962589904,0.47343033714534344,success,
0.001,256,<class 'torch.optim.radam.RAdam'>,0.0,"[256, 128, 64, 32]",0.3,False,0.3001315917251438,0.5711349705778566,0.7982241103930735,0.507089022937031,success,
