lr,batch_size,optimizer,optimizer__weight_decay,module__hidden_layers,module__dropout,module__use_batchnorm,valid_loss,status,error
0.0005,128,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 64, 32]",0.0,True,0.17345449031151877,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,1e-05,"[128, 128, 64, 32]",0.0,False,0.2667054303182471,success,
0.001,128,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 64, 32]",0.0,False,0.20709316213728976,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0,"[64, 32, 32]",0.2,False,0.2681197113900247,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 128, 64, 32]",0.0,True,0.18491778729719627,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 256, 128, 64, 32]",0.3,False,0.19507249578690036,success,
0.001,512,<class 'torch.optim.adam.Adam'>,0.0,"[128, 64, 32]",0.4,False,0.24058272179299575,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,0.0,"[256, 128, 64, 32]",0.3,False,0.36852574592360265,success,
0.001,512,<class 'torch.optim.adamw.AdamW'>,0.0001,"[64, 32, 32]",0.2,False,0.25687902679977137,success,
0.0001,512,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 128, 64, 32]",0.4,False,0.44790264174061206,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 32]",0.3,True,0.3432434959300472,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0,"[256, 128, 64, 32]",0.0,False,0.20169858607304245,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 128, 64, 32]",0.0,False,0.2099958827922314,success,
