lr,batch_size,optimizer,optimizer__weight_decay,module__hidden_layers,module__dropout,module__use_batchnorm,valid_loss,test_rmse,status,error
0.0005,128,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 64, 32]",0.0,True,0.17042447911171493,0.6453038523061474,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,1e-05,"[128, 128, 64, 32]",0.0,False,0.4696148650772808,0.6688795931451755,success,
0.001,128,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 64, 32]",0.0,False,0.2407252893209005,0.6125714922755385,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0,"[64, 32, 32]",0.2,False,0.31564881088641444,0.6776509316497857,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 128, 64, 32]",0.0,True,0.1912650724172624,0.6238023372434399,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 256, 128, 64, 32]",0.3,False,0.2083377826830009,0.6328021158748377,success,
0.001,512,<class 'torch.optim.adam.Adam'>,0.0,"[128, 64, 32]",0.4,False,0.3913741103737157,0.6583036387311568,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,0.0,"[256, 128, 64, 32]",0.3,False,0.5617631586375907,0.6122423863145662,success,
0.001,512,<class 'torch.optim.adamw.AdamW'>,0.0001,"[64, 32, 32]",0.2,False,0.3560659233041226,0.6843455346076079,success,
0.0001,512,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 128, 64, 32]",0.4,False,0.6953459458254657,0.6488356589537557,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 32]",0.3,True,0.4371450070549281,0.6049488741129015,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0,"[256, 128, 64, 32]",0.0,False,0.19953472503511527,0.6189070413433383,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 128, 64, 32]",0.0,False,0.20497328479074817,0.6251137125314415,success,
0.001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 128, 64, 32]",0.4,False,0.2766793342341366,0.6467381432847402,success,
0.001,128,<class 'torch.optim.adam.Adam'>,0.0,"[64, 32, 32]",0.0,False,0.28301534610286,0.623965492960968,success,
0.0001,128,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 64, 32]",0.3,True,0.9896561610036949,0.7774220821806894,success,
0.0005,512,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 128, 64, 32]",0.2,False,0.32367791006413044,0.6635830248782106,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 256, 128, 64, 32]",0.4,False,0.5992857276839357,0.6618259891631236,success,
0.001,128,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 128, 64, 32]",0.0,True,0.16202978811033214,0.6412598362987869,success,
0.001,256,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 128, 64, 64, 32]",0.4,False,0.3597693729641452,0.6294488134789262,success,
0.0005,128,<class 'torch.optim.radam.RAdam'>,0.0,"[256, 128, 64]",0.3,False,0.24514790432243344,0.630927397655114,success,
0.001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 64, 32]",0.2,True,0.2241135193818983,0.6074538578419225,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 64, 32]",0.4,False,0.26827505876579455,0.6315624203902643,success,
0.0005,512,<class 'torch.optim.radam.RAdam'>,0.0,"[64, 32, 32]",0.4,True,0.6459169100157864,0.6436269316906745,success,
0.001,256,<class 'torch.optim.adamw.AdamW'>,0.0,"[128, 64, 32]",0.3,False,0.29162479792725343,0.6473338678245051,success,
0.0005,128,<class 'torch.optim.radam.RAdam'>,0.0001,"[64, 32, 32]",0.4,True,0.38741036848940785,0.593230653251379,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 128, 64, 32]",0.4,False,0.28815146545970477,0.6529481555843425,success,
0.0001,128,<class 'torch.optim.adam.Adam'>,1e-05,"[128, 128, 64, 32]",0.0,False,0.42539951181810326,0.6844128363535851,success,
0.0005,128,<class 'torch.optim.radam.RAdam'>,0.0001,"[64, 32, 32]",0.0,True,0.22064999287910672,0.7124256554403625,success,
0.0001,256,<class 'torch.optim.radam.RAdam'>,0.0,"[128, 64, 32]",0.4,False,0.5267851368953866,0.6542154493811521,success,
0.0001,128,<class 'torch.optim.adamw.AdamW'>,0.0001,"[256, 256, 128, 64, 32]",0.0,True,0.16772492224848157,0.6482674248473976,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,0.0001,"[256, 128, 64, 32]",0.2,True,0.2077203173088789,0.5519374397155107,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,1e-05,"[128, 64, 32]",0.4,True,0.2567132287727361,0.6026286458852929,success,
0.0001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 64, 32]",0.2,True,0.44920831291788177,0.7065030740529845,success,
0.001,256,<class 'torch.optim.radam.RAdam'>,0.0,"[256, 128, 64]",0.0,False,0.19257840740237603,0.6025857393446432,success,
0.0001,256,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 64, 32]",0.0,True,0.2187392074185916,0.672940026914995,success,
0.0001,256,<class 'torch.optim.radam.RAdam'>,0.0,"[256, 256, 128, 64, 32]",0.3,True,0.841489197527647,0.7057517144520804,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 128, 64]",0.3,False,0.25164087980904276,0.6400103833345765,success,
0.0001,128,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 128, 64]",0.2,True,0.28746079730910234,0.6288076109184023,success,
