lr,batch_size,optimizer,optimizer__weight_decay,module__hidden_layers,module__dropout,module__use_batchnorm,valid_loss,test_rmse,status,error
0.0005,128,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 64, 32]",0.0,True,0.16767520342636139,0.6273632239767104,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,1e-05,"[128, 128, 64, 32]",0.0,False,0.2840565246673489,0.6315677546152381,success,
0.001,128,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 64, 32]",0.0,False,0.19694358053200786,0.5977711958800181,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0,"[64, 32, 32]",0.2,False,0.2573762779671731,0.607559219088592,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 128, 64, 32]",0.0,True,0.1779604466565841,0.6171592220013276,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 256, 128, 64, 32]",0.3,False,0.24523736809959099,0.6070654076746527,success,
0.001,512,<class 'torch.optim.adam.Adam'>,0.0,"[128, 64, 32]",0.4,False,0.25364476181430967,0.5938454562880793,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,0.0,"[256, 128, 64, 32]",0.3,False,0.3096453994219488,0.6561103649756659,success,
0.001,512,<class 'torch.optim.adamw.AdamW'>,0.0001,"[64, 32, 32]",0.2,False,0.26120598312703047,0.6108118278985148,success,
0.0001,512,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 128, 64, 32]",0.4,False,0.3528532927008006,0.6983305661220159,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 32]",0.3,True,0.38043781862176973,0.6014766266119699,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0,"[256, 128, 64, 32]",0.0,False,0.22407324699262088,0.5762865849723366,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 128, 64, 32]",0.0,False,0.22406900930923293,0.5839756765073878,success,
0.001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 128, 64, 32]",0.4,False,0.2436111874187119,0.6327164578051235,success,
0.001,128,<class 'torch.optim.adam.Adam'>,0.0,"[64, 32, 32]",0.0,False,0.24188980698695536,0.6239222976205143,success,
0.0001,128,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 64, 32]",0.3,True,0.7213063889019756,0.7344268098810448,success,
0.0005,512,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 128, 64, 32]",0.2,False,0.2498260879483922,0.591833145973275,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 256, 128, 64, 32]",0.4,False,0.4478497122928787,0.6450007220351495,success,
0.001,128,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 128, 64, 32]",0.0,True,0.15745553563868692,0.626995989716167,success,
0.001,256,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 128, 64, 64, 32]",0.4,False,0.2821942192097852,0.6023702546819015,success,
0.0005,128,<class 'torch.optim.radam.RAdam'>,0.0,"[256, 128, 64]",0.3,False,0.21162995498546777,0.6131559726653143,success,
0.001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 64, 32]",0.2,True,0.26817503826195627,0.5745013127128381,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 64, 32]",0.4,False,0.24004225731065962,0.5776017310268705,success,
0.0005,512,<class 'torch.optim.radam.RAdam'>,0.0,"[64, 32, 32]",0.4,True,0.9394855762509673,0.8507986577175032,success,
0.001,256,<class 'torch.optim.adamw.AdamW'>,0.0,"[128, 64, 32]",0.3,False,0.22529311390510173,0.5937000579002325,success,
0.0005,128,<class 'torch.optim.radam.RAdam'>,0.0001,"[64, 32, 32]",0.4,True,0.3308540958556181,0.588109199989536,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 128, 64, 32]",0.4,False,0.23237355346793184,0.6318442063962904,success,
0.0001,128,<class 'torch.optim.adam.Adam'>,1e-05,"[128, 128, 64, 32]",0.0,False,0.26330150876273906,0.6284361332065344,success,
0.0005,128,<class 'torch.optim.radam.RAdam'>,0.0001,"[64, 32, 32]",0.0,True,0.19121479981628112,0.6053701660804094,success,
0.0001,256,<class 'torch.optim.radam.RAdam'>,0.0,"[128, 64, 32]",0.4,False,0.34981578533018515,0.6331659102661001,success,
0.0001,128,<class 'torch.optim.adamw.AdamW'>,0.0001,"[256, 256, 128, 64, 32]",0.0,True,0.1667799660933687,0.6213049520954371,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,0.0001,"[256, 128, 64, 32]",0.2,True,0.1772866109832659,0.5765629156193802,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,1e-05,"[128, 64, 32]",0.4,True,0.2375969832465348,0.5477325934537406,success,
0.0001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 64, 32]",0.2,True,0.5254214960181876,0.6684296077036639,success,
0.001,256,<class 'torch.optim.radam.RAdam'>,0.0,"[256, 128, 64]",0.0,False,0.20161219887420676,0.5769207641167191,success,
0.0001,256,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 64, 32]",0.0,True,0.19714941930255384,0.6438451815145615,success,
0.0001,256,<class 'torch.optim.radam.RAdam'>,0.0,"[256, 256, 128, 64, 32]",0.3,True,0.6654834732702108,0.7132514972214627,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 128, 64]",0.3,False,0.19647862689296458,0.6104852345369876,success,
0.0001,128,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 128, 64]",0.2,True,0.28583076198856533,0.605650835747626,success,
0.001,128,<class 'torch.optim.adam.Adam'>,0.0,"[256, 128, 64]",0.0,True,0.16033814620217646,0.5914290932551274,success,
0.0005,512,<class 'torch.optim.radam.RAdam'>,0.0,"[128, 128, 64, 64, 32]",0.0,True,0.17135308632246607,0.6256423672687114,success,
0.0001,128,<class 'torch.optim.adamw.AdamW'>,0.0001,"[256, 128, 64, 32]",0.2,False,0.25622130079891975,0.6167515351558903,success,
0.0005,256,<class 'torch.optim.adamw.AdamW'>,0.0001,"[128, 64, 32]",0.0,False,0.2500600568068064,0.6153820224987021,success,
0.0005,512,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 256, 128, 64, 32]",0.3,False,0.3130658235297289,0.6297800924334955,success,
0.001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 64, 32]",0.2,False,0.22679043367113924,0.5965258465052016,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,1e-05,"[128, 64, 32]",0.2,True,0.24449811991905798,0.5764002335002709,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,1e-05,"[256, 128, 64]",0.3,True,0.1940920225170948,0.5871033559371136,success,
0.0001,128,<class 'torch.optim.adam.Adam'>,0.0,"[256, 256, 128, 64, 32]",0.2,True,0.3083521927120789,0.585621761590849,success,
0.0001,128,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 128, 64, 32]",0.4,True,0.2917892940115882,0.5781229625421362,success,
0.0005,256,<class 'torch.optim.adamw.AdamW'>,0.0001,"[128, 128, 64, 32]",0.3,True,0.3710146398646497,0.5999884746473568,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0,"[256, 256, 128, 64, 32]",0.4,False,0.24091537440970046,0.6088287375363762,success,
0.001,512,<class 'torch.optim.radam.RAdam'>,0.0001,"[128, 128, 64, 32]",0.2,True,0.3865931278763334,0.6007107041010108,success,
0.001,256,<class 'torch.optim.adamw.AdamW'>,1e-05,"[256, 128, 64, 32]",0.2,True,0.18534828611212076,0.5900594315260527,success,
0.0001,256,<class 'torch.optim.adamw.AdamW'>,1e-05,"[256, 128, 64]",0.3,False,0.2736299264409453,0.6380048959356887,success,
0.0001,256,<class 'torch.optim.adamw.AdamW'>,0.0,"[128, 128, 64, 64, 32]",0.4,True,2.253098965882571,1.279276170165659,success,
0.0005,256,<class 'torch.optim.radam.RAdam'>,1e-05,"[64, 32, 32]",0.0,True,0.21387734154341065,0.6167160812522948,success,
0.0001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 256, 128, 64, 32]",0.4,True,1.0601533847567597,0.9177218509962142,success,
0.0001,128,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 128, 64, 64, 32]",0.3,True,0.7213063889019756,0.7344268098810448,success,
0.0001,256,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 128, 64, 64, 32]",0.0,True,0.1912861532792266,0.6158045589955333,success,
0.001,512,<class 'torch.optim.adamw.AdamW'>,1e-05,"[64, 32, 32]",0.0,False,0.26688611452690014,0.5591425876417906,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 128, 64, 32]",0.4,False,0.24757147861723017,0.6360039875426262,success,
0.0005,512,<class 'torch.optim.adamw.AdamW'>,0.0,"[64, 32, 32]",0.4,True,0.9292151232694867,0.8433548516693169,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 128, 64]",0.0,False,0.23379721623130492,0.6002803852889145,success,
0.001,512,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 128, 64]",0.2,True,0.25834938506364546,0.5937578694769278,success,
0.001,256,<class 'torch.optim.adamw.AdamW'>,0.0,"[64, 32, 32]",0.4,True,0.39724033870062647,0.622821419554944,success,
0.001,512,<class 'torch.optim.adam.Adam'>,0.0,"[256, 256, 128, 64, 32]",0.0,False,0.21438109652887052,0.5828366944644913,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 64, 32]",0.2,False,0.22486286811755926,0.5643141897550931,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 128, 64]",0.2,True,0.23816114423927462,0.5906808913135236,success,
0.0005,512,<class 'torch.optim.adam.Adam'>,1e-05,"[64, 32, 32]",0.4,False,0.3553562856583462,0.6388317804337307,success,
0.0001,128,<class 'torch.optim.adamw.AdamW'>,0.0001,"[256, 256, 128, 64, 32]",0.2,True,0.3083521927120789,0.585621761590849,success,
