lr,batch_size,optimizer,optimizer__weight_decay,module__hidden_layers,module__dropout,module__use_batchnorm,valid_loss,test_rmse,status,error
0.0005,128,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 64, 32]",0.0,True,0.18161951640634158,0.6353569563570552,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,1e-05,"[128, 128, 64, 32]",0.0,False,0.29305933157646263,0.6173528023999643,success,
0.001,128,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 64, 32]",0.0,False,0.21205073062527588,0.5919897480078612,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0,"[64, 32, 32]",0.2,False,0.27376903875314856,0.6199118456768165,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 128, 64, 32]",0.0,True,0.17890901114494456,0.6709106476688959,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 256, 128, 64, 32]",0.3,False,0.21871946001173384,0.6680484815540558,success,
0.001,512,<class 'torch.optim.adam.Adam'>,0.0,"[128, 64, 32]",0.4,False,0.2556898656018513,0.593200601093643,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,0.0,"[256, 128, 64, 32]",0.3,False,0.3370756284698178,0.6689909155646256,success,
0.001,512,<class 'torch.optim.adamw.AdamW'>,0.0001,"[64, 32, 32]",0.2,False,0.27606765192798927,0.623373241455918,success,
0.0001,512,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 128, 64, 32]",0.4,False,0.3396981951786075,0.699909355955544,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 32]",0.3,True,0.29885618223287597,0.5886021528851466,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0,"[256, 128, 64, 32]",0.0,False,0.19449907173212025,0.5865919079602417,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 128, 64, 32]",0.0,False,0.2147562068487215,0.581164972133185,success,
0.001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 128, 64, 32]",0.4,False,0.26020489422715287,0.6368149461533958,success,
0.001,128,<class 'torch.optim.adam.Adam'>,0.0,"[64, 32, 32]",0.0,False,0.21995741247738082,0.5861667269698596,success,
0.0001,128,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 64, 32]",0.3,True,0.44728655789552246,0.6212935480953335,success,
0.0005,512,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 128, 64, 32]",0.2,False,0.26463182671157376,0.639205269682569,success,
0.0001,256,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 256, 128, 64, 32]",0.4,False,0.36197800578406675,0.7310854609184103,success,
0.001,128,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 128, 64, 32]",0.0,True,0.15445955325662009,0.6179027671181327,success,
0.001,256,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 128, 64, 64, 32]",0.4,False,0.2553546291400461,0.632464559897892,success,
