ID,POINT_BALANCE
807,-0.009
808,-1.485
809,1.121
810,2.109
811,-1.98
812,-0.378
813,1.056
814,-1.98
815,-0.9
816,0.737
817,0.837
818,-2.349
819,-0.837
820,1.416
821,1.245
822,-0.261
823,1.194
824,1.05
825,1.631
826,1.75
4513,-0.531
4514,-1.359
4515,0.876
4516,0.803
4517,-0.288
4518,-0.171
4519,0.858
4520,1.487
4521,0.942
4522,1.592
4523,1.013
4524,1.11
4525,1.026
4526,0.909
4527,0.838
4528,1.089
4529,1.403
4530,-1.665
4531,-2.07
4532,-1.872
4533,0.869
4534,0.551
4535,0.975
4536,0.636
4537,0.763
4538,0.572
4539,1.06
4540,0.848
4541,0.614
4542,-0.549
4543,-1.548
4544,-0.882
4545,-0.99
4546,-0.999
4547,0.427
4548,0.818
4549,0.747
4550,0.605
4551,0.694
4552,0.854
4553,0.658
4554,0.907
4555,0.747
4556,0.836
4557,0.818
4558,0.267
4559,0.48
4560,0.89
4561,0.587
4562,0.658
4563,0.587
4564,0.943
4565,0.498
4566,0.373
4567,0.445
4568,0.605
4569,0.534
4570,0.32
4571,0.409
4572,0.516
4573,0.551
4574,-1.836
4575,-2.457
4576,0.356
4577,0.372
4578,0.34
4579,0.388
4580,0.324
4581,0.372
4582,0.469
4583,0.421
4584,0.648
4585,0.469
4586,0.453
4587,0.194
4588,0.534
4589,0.178
4590,0.599
4591,0.502
4592,0.194
4593,0.907
4594,0.21
4595,0.194
4596,0.615
4597,0.162
4598,0.243
4599,0.275
4600,0.194
4601,0.162
4602,0.243
4603,0.113
4604,0.275
4605,0.356
4606,0.275
4607,0.372
4608,0.469
4609,-1.323
4610,-0.666
4611,-2.385
4612,1.64
4613,0.591
4614,1.64
4615,0.748
4616,1.189
4617,1.127
4618,0.817
4619,1.16
4620,0.261
4621,1.127
4622,0.382
4623,0.643
4624,1.394
4625,0.469
4626,0.835
4627,0.609
4628,0.748
4629,1.611
4630,1.025
4631,0.852
4632,1.476
4633,0.713
4634,0.574
4635,1.537
4636,0.504
4637,0.462
4638,0.515
4639,0.574
4640,0.591
4641,0.393
4642,0.835
4643,0.713
4644,1.066
4645,1.189
4646,0.73
4647,-1.233
4648,-2.709
4649,-2.385
4650,1.685
4651,0.386
4652,0.465
4653,0.608
4654,1.394
4655,0.508
4656,1.438
4657,0.572
4658,0.923
4659,0.884
4660,0.816
4661,1.416
4662,0.823
4663,0.644
4664,0.619
4665,0.673
4666,0.608
4667,0.644
4668,0.733
4669,0.655
4670,0.723
4671,0.483
4672,0.758
4673,1.399
4674,1.518
4675,0.96
4676,0.94
4677,1.18
4678,0.96
4679,0.772
4680,0.66
4681,0.4
4682,0.46
4683,0.392
4684,0.532
4685,0.552
4686,0.78
4687,0.872
4688,0.912
4689,0.812
4690,0.84
