exp_key,RMSE_annual,RMSE_winter,R2_annual,R2_winter,Bias_annual,Bias_winter,n_preds,n_annual,n_winter,E_ZERO_RMSE_annual,Delta_vs_ZERO_annual,E_ZERO_RMSE_winter,Delta_vs_ZERO_winter
TL_CH_to_ISL_G10_Y10_seed1,1.4222959695047088,1.046803063304339,0.6944095671092779,-0.09147526147557072,0.03186330319577476,-0.012871787534095347,2444,1164,1280,2.750572565450484,-1.328276595945775,1.2140721489408826,-0.16726908563654352
TL_CH_to_ISL_G10_Y10_seed10,1.3953202626376435,0.9026262907605839,0.7058914858575815,0.1884787711869299,0.07565147375937589,0.193875127681531,2444,1164,1280,2.750572565450484,-1.3552523028128403,1.2140721489408826,-0.3114458581802987
TL_CH_to_ISL_G10_Y10_seed11,1.3868229444758893,0.8069023637208693,0.7094627432768229,0.3514762244273244,-0.20165164827583582,0.023193148314021528,2444,1164,1280,2.750572565450484,-1.3637496209745945,1.2140721489408826,-0.40716978522001324
TL_CH_to_ISL_G10_Y10_seed12,1.6286865330289193,0.9889999670854043,0.5992857325761618,0.025736390130529974,-0.7892629365945599,-0.08355237895157189,2444,1164,1280,2.750572565450484,-1.1218860324215645,1.2140721489408826,-0.22507218185547828
TL_CH_to_ISL_G10_Y10_seed13,1.3194252403644504,0.7972113639702104,0.7370159734386044,0.36696038494760896,-0.35084592865914416,0.03143537098076195,2444,1164,1280,2.750572565450484,-1.4311473250860334,1.2140721489408826,-0.41686078497067214
TL_CH_to_ISL_G10_Y10_seed14,1.5293929458648963,0.9066223589196811,0.6466558052811087,0.18127740207845988,-0.5682668440632804,-0.15043630418367684,2444,1164,1280,2.750572565450484,-1.2211796195855875,1.2140721489408826,-0.30744979002120143
TL_CH_to_ISL_G10_Y10_seed15,1.3282004149893418,0.8615721544787196,0.7335062560824901,0.26062078839049063,-0.2698916560903038,-0.11017252642195671,2444,1164,1280,2.750572565450484,-1.422372150461142,1.2140721489408826,-0.35249999446216296
TL_CH_to_ISL_G10_Y10_seed16,1.4524629771308162,0.8900623875245626,0.681308898460306,0.21091311574324478,0.1287900586052449,-0.08412745394743978,2444,1164,1280,2.750572565450484,-1.2981095883196676,1.2140721489408826,-0.32400976141632
TL_CH_to_ISL_G10_Y10_seed17,1.3616521322974116,0.826439937553789,0.7199135262045021,0.31969052523215946,0.08787251020624876,-0.21130449739284812,2444,1164,1280,2.750572565450484,-1.3889204331530722,1.2140721489408826,-0.3876322113870936
TL_CH_to_ISL_G10_Y10_seed18,1.4485024138050449,0.8712586782280748,0.6830445370768639,0.24390187524926987,-0.23856705854746074,-0.0858449521707371,2444,1164,1280,2.750572565450484,-1.302070151645439,1.2140721489408826,-0.34281347071280777
TL_CH_to_ISL_G10_Y10_seed19,1.381256895867062,0.90290483592484,0.7117902202991333,0.18797783254949263,-0.3576107965558255,-0.18035107098985464,2444,1164,1280,2.750572565450484,-1.3693156695834219,1.2140721489408826,-0.3111673130160425
TL_CH_to_ISL_G10_Y10_seed2,1.4187048873604067,0.8219527132402975,0.695950758233485,0.3270580631017137,-0.03614106605347899,6.381752900779248e-05,2444,1164,1280,2.750572565450484,-1.3318676780900771,1.2140721489408826,-0.39211943570058505
TL_CH_to_ISL_G10_Y10_seed20,1.3904388845925264,0.8062297769530942,0.7079457004204597,0.3525569170587628,0.10311012356654066,0.02606975273229182,2444,1164,1280,2.750572565450484,-1.3601336808579574,1.2140721489408826,-0.4078423719877884
TL_CH_to_ISL_G10_Y10_seed3,1.4149795764464896,0.9036095715497746,0.6975454391931681,0.18670973815564829,-0.36240927485870744,-0.005955936782993376,2444,1164,1280,2.750572565450484,-1.3355929890039941,1.2140721489408826,-0.31046257739110794
TL_CH_to_ISL_G10_Y10_seed4,1.391089221949631,0.8336552692806755,0.7076724367172711,0.3077596246896124,0.3429108790003557,0.03823254809249192,2444,1164,1280,2.750572565450484,-1.3594833435008529,1.2140721489408826,-0.3804168796602071
TL_CH_to_ISL_G10_Y10_seed5,1.3709739009198698,0.8722054638807368,0.716065497389578,0.24225769807452624,-0.0541144870093598,-0.05721922710072249,2444,1164,1280,2.750572565450484,-1.379598664530614,1.2140721489408826,-0.3418666850601457
