region,split,method,adapter_bottleneck,lr_adapter,adapter_dropout,best_val,ckpt,dan_alpha,mix_ratio_ft
ISL,5pct,adapter,64.0,0.0001,0.1,0.20741678774356842,models/GS/lstm_TL_TL_CH_to_ISL_5pct_adapter_2026-02-24.pt,,
ISL,5pct,adapter,32.0,0.0001,0.0,0.22346284985542297,models/GS/lstm_TL_TL_CH_to_ISL_5pct_adapter_2026-02-24.pt,,
ISL,5pct,adapter,32.0,0.0001,0.1,0.23214507102966309,models/GS/lstm_TL_TL_CH_to_ISL_5pct_adapter_2026-02-24.pt,,
ISL,5pct,adapter,16.0,3e-05,0.0,0.4052647352218628,models/GS/lstm_TL_TL_CH_to_ISL_5pct_adapter_2026-02-24.pt,,
ISL,5pct,dan,,,,0.14466769993305206,models/GS/lstm_TL_TL_CH_to_ISL_5pct_dan_2026-02-24.pt,0.2,2.0
ISL,5pct,dan,,,,0.14893794059753418,models/GS/lstm_TL_TL_CH_to_ISL_5pct_dan_2026-02-24.pt,0.2,4.0
ISL,5pct,dan,,,,0.1500396430492401,models/GS/lstm_TL_TL_CH_to_ISL_5pct_dan_2026-02-24.pt,0.1,1.0
ISL,5pct,dan,,,,0.15338051319122314,models/GS/lstm_TL_TL_CH_to_ISL_5pct_dan_2026-02-24.pt,0.1,2.0
ISL,5pct,dan,,,,0.16608154773712158,models/GS/lstm_TL_TL_CH_to_ISL_5pct_dan_2026-02-24.pt,0.05,1.0
NOR,5pct,adapter,64.0,0.0001,0.1,0.10069800913333893,models/GS/lstm_TL_TL_CH_to_NOR_5pct_adapter_2026-02-24.pt,,
NOR,5pct,adapter,32.0,0.0001,0.1,0.12008297443389893,models/GS/lstm_TL_TL_CH_to_NOR_5pct_adapter_2026-02-24.pt,,
NOR,5pct,adapter,32.0,0.0001,0.0,0.12109659612178802,models/GS/lstm_TL_TL_CH_to_NOR_5pct_adapter_2026-02-24.pt,,
NOR,5pct,adapter,16.0,3e-05,0.0,0.18151763081550598,models/GS/lstm_TL_TL_CH_to_NOR_5pct_adapter_2026-02-24.pt,,
NOR,5pct,dan,,,,0.08885721117258072,models/GS/lstm_TL_TL_CH_to_NOR_5pct_dan_2026-02-24.pt,0.1,2.0
NOR,5pct,dan,,,,0.08914342522621155,models/GS/lstm_TL_TL_CH_to_NOR_5pct_dan_2026-02-24.pt,0.2,2.0
NOR,5pct,dan,,,,0.0893857479095459,models/GS/lstm_TL_TL_CH_to_NOR_5pct_dan_2026-02-24.pt,0.1,1.0
NOR,5pct,dan,,,,0.09021583944559097,models/GS/lstm_TL_TL_CH_to_NOR_5pct_dan_2026-02-24.pt,0.2,4.0
NOR,5pct,dan,,,,0.09078782051801682,models/GS/lstm_TL_TL_CH_to_NOR_5pct_dan_2026-02-24.pt,0.05,1.0
